identifier,labels,text,es-CO,de,fr-CA,nl,de-CH,es-AR,en-GH,pt-PT
number-identification-28,math,Choose the 47.,Escoge el 47.,Wähle die siebenundvierzig.,,,,,,Escolha o 47.
number-identification-29,math,Choose the 50.,Escoge el 50.,Wähle die fünfzig.,,,,,,Escolha o 50.
number-identification-30,math,Choose the 55.,Escoge el 55.,Wähle die fünfundfünfzig.,,,,,,Escolha o 55.
number-identification-31,math,Choose the 66.,"Escoge, el, 66.",Wähle die sechsundsechzig.,,,,,,Escolha o 66.
number-identification-32,math,Choose the 67.,Escoge el 67.,Wähle die siebenundsechzig.,,,,,,Escolha o 67.
number-identification-33,math,Choose the 88.,Escoge el 88.,Wähle die achtundachtzig.,,,,,,Escolha o 88.
number-identification-34,math,Choose the 101.,Escoge el 101.,Wähle die einhunderteins.,,,,,,Escolha o 101.
number-identification-35,math,Choose the 426.,Escoge el 426.,Wähle die vierhundertsechsundzwanzig.,,,,,,Escolha o 426.
number-identification-36,math,Choose the 131.," Escoge,, el ciento, treinta y uno
",Wähle die einhunderteinunddreißig.,,,,,,Escolha o 131.
number-identification-37,math,Choose the 256.,Escoge el 256.,Wähle die zweihundertsechsundfünfzig.,,,,,,Escolha o 256.
number-identification-38,math,Choose the 349.,Escoge el 349.,Wähle die dreihundertneunundvierzig.,,,,,,Escolha o 349.
number-identification-39,math,Choose the 543.,Escoge el 543.,Wähle die fünfhundertdreiundvierzig.,,,,,,Escolha o 543.
number-identification-40,math,Choose the 617.,Escoge el 617.,Wähle die sechshundertsiebzehn.,,,,,,Escolha o 617.
number-identification-41,math,Choose the 877.,Escoge el 877. ,Wähle die achthundertsiebenundsiebzig.,,,,,,Escolha o 877.
math-instructions1-heavy,math,"In this game, you will play with numbers.

Some questions might be easy for you and some might be hard. That is okay! Please try your best and take your time. Let’s get started!","En este juego, jugarás con números.

Algunas preguntas pueden ser fáciles para ti y algunas pueden ser difíciles. ¡Está bien! Haz tu mejor esfuerzo y tómate tu tiempo. ¡Comencemos!","In diesem Spiel wirst du mit Zahlen spielen.

Einige Fragen könnten einfach für dich sein und andere schwer. Das ist in Ordnung! Bitte gib dein Bestes und nimm dir Zeit. Lass uns beginnen!",,,,,,"Neste jogo, você vai brincar com números.

Algumas perguntas podem ser fáceis para você e outras podem ser difíceis. Está tudo bem! Por favor, faça o seu melhor e leve o tempo que precisar. Vamos começar!"
math-intro1-heavy,math,It's time for the first number game! Let's practice.,¡Es hora del primer juego de números! Vamos a practicar.,Es ist Zeit für das erste Zahlenspiel! Lass uns üben.,,,,,,É hora do primeiro jogo de números! Vamos praticar.
math-intro2-heavy,math,It's time for the next number game! Let's practice.,¡Es hora del siguiente juego de números! Vamos a practicar.,Es ist Zeit für das nächste Zahlenspiel! Lass uns üben.,,,,,,É hora do próximo jogo de números! Vamos praticar.
counting-intro,math,"In this number game, you will say how many things are in the picture! The grownup helping you will press the button.","En este juego de números, dirás cuántas cosas hay en la imagen. El adulto que te está ayudando presionará el botón.","In diesem Zahlenspiel sagst du, wie viele Dinge auf dem Bild sind! Der Erwachsene, der dir hilft, wird den Knopf drücken.",,,,,,"Neste jogo de números, você dirá quantas coisas estão na imagem! O adulto que está te ajudando apertará o botão."
counting-intro-afc,math,"This time, you will choose the button with the right number!","¡Esta vez, elegirás el botón con el número correcto!",Dieses Mal wählst du die Taste mit der richtigen Zahl!,,,,,,"Desta vez, você escolherá o botão com o número correto!"
ns-number-identification-1,math,Choose the card that shows 1 apple.,Elige la carta que muestra 1 manzana.,"Wählen Sie die Karte, die 1 Apfel zeigt.",,,,,,Escolha a carta que mostra 1 maçã.
ns-number-identification-2,math,Choose the card that shows 2 cars.,Elige la carta que muestra 2 carros.,"Wählen Sie die Karte, die 2 Autos zeigt.",,,,,,Escolha a carta que mostra 2 carros.
ns-number-identification-5,math,Choose the card that shows 5 apples.,Elige la carta que muestra 5 manzanas.,"Wählen Sie die Karte, die 5 Äpfel zeigt.",,,,,,Escolha a carta que mostra 5 maçãs.
ns-number-identification-7,math,Choose the card that shows 7 cars.,Elige la carta que muestra 7 carros.,"Wählen Sie die Karte, die 7 Autos zeigt.",,,,,,Escolha a carta que mostra 7 carros.
ns-number-identification-10,math,Choose the card that shows 10 apples.,Elige la carta que muestra 10 manzanas.,"Wählen Sie die Karte, die 10 Äpfel zeigt.",,,,,,Escolha a carta que mostra 10 maçãs.
counting-1,math,How many cars is this?,¿Cuántos carros hay?,Wie viele Autos sind das?,,,,,,Quantos carros são estes?
counting-2,math,How many apples is this?,¿Cuántas manzanas hay?,Wie viele Äpfel sind das?,,,,,,Quantas maçãs são estas?
ns-number-comp-1,math,Which card has more apples?,¿Cuál carta tiene más manzanas?,Welche Karte hat mehr Äpfel?,,,,,,Qual carta tem mais maçãs?
ns-number-comp-2,math,Which card has more cars?,¿Cuál carta tiene más carros?,Welche Karte hat mehr Autos?,,,,,,Qual carta tem mais carros?
number-identification-42,math,Choose the 8.,Escoge el 8. ,Wähle die  8.,,,,,,Escolha o 8.
number-identification-45,math,Choose the 3.,"Escoge, el, 3. ",Wähle die 3.,,,,,,Escolha o 3.
