old_flat_key,new_flat_key,oldDefault,newDefault,olden,newen,olden-US,newen-US,oldde,newde,oldde-DE,newde-DE,oldes,newes,oldesCO,newesCO
pages_1_elements_1_rows_1_text,pages_1_elements_1_rows_1_text,People in your neighborhood watch out for each other's children.,People in your neighborhood watch out for each other's children.,missing key,People in your neighborhood watch out for each other's children.,missing key,People in your neighborhood watch out for each other's children.,Die Menschen in Ihrer Nachbarschaft passen auf die Kinder der anderen auf.,Die Menschen in Ihrer Nachbarschaft passen auf die Kinder der anderen auf.,missing key,missing key,La gente de su vecindario cuida mutuamente de nuestros niños(as).,missing key,missing key,La gente de su vecindario cuida mutuamente de nuestros niños(as).
pages_1_elements_1_rows_2_text,pages_1_elements_1_rows_2_text,Your child is safe in your neighborhood.,Your child is safe in your neighborhood.,missing key,Your child is safe in your neighborhood.,missing key,Your child is safe in your neighborhood.,Ihr Kind ist in Ihrer Nachbarschaft sicher.,Ihr Kind ist in Ihrer Nachbarschaft sicher.,missing key,missing key,Su niño(a) está seguro(a) en su vecindario.,missing key,missing key,Su niño(a) está seguro(a) en su vecindario.
pages_1_elements_1_title,pages_1_elements_1_title,To what extent do you agree with these statements about your neighborhood or community?,To what extent do you agree with these statements about your neighborhood or community?,missing key,To what extent do you agree with these statements about your neighborhood or community?,missing key,To what extent do you agree with these statements about your neighborhood or community?,Inwieweit stimmen Sie diesen Aussagen über Ihre Nachbarschaft oder Gemeinde zu?,Inwieweit stimmen Sie diesen Aussagen über Ihre Nachbarschaft oder Gemeinde zu?,missing key,missing key,¿En qué medida está de acuerdo con estas afirmaciones sobre su vecindario o comunidad?,missing key,missing key,¿En qué medida está de acuerdo con estas afirmaciones sobre su vecindario o comunidad?
pages_1_elements_2_elements_0_choices_0_text,pages_1_elements_2_elements_0_choices_0_text,Never true,Never true,missing key,Never true,missing key,Never true,Trifft nie zu,Trifft nie zu,missing key,missing key,Nunca,missing key,missing key,Nunca
pages_1_elements_2_elements_0_choices_1_text,pages_1_elements_2_elements_0_choices_1_text,Sometimes true,Sometimes true,missing key,Sometimes true,missing key,Sometimes true,Trifft manchmal zu,Trifft manchmal zu,missing key,missing key,A veces,missing key,missing key,A veces
pages_1_elements_2_elements_0_choices_2_text,pages_1_elements_2_elements_0_choices_2_text,Often true,Often true,missing key,Often true,missing key,Often true,Trifft oft zu,Trifft oft zu,missing key,missing key,Frecuentemente,missing key,missing key,Frecuentemente
pages_1_elements_2_elements_0_title,pages_1_elements_2_elements_0_title,"The food that we bought just didn't last, and we didn't have enough money to get more.","The food that we bought just didn't last, and we didn't have enough money to get more.",missing key,"The food that we bought just didn't last, and we didn't have enough money to get more.",missing key,"The food that we bought just didn't last, and we didn't have enough money to get more.","Die Lebensmittel, die wir gekauft hatten, reichten einfach nicht aus, und wir hatten nicht genug Geld, um mehr zu kaufen.","Die Lebensmittel, die wir gekauft hatten, reichten einfach nicht aus, und wir hatten nicht genug Geld, um mehr zu kaufen.",missing key,missing key,"La comida que comprábamos no alcanzaba, y no teníamos dinero para comprar más.",missing key,missing key,"La comida que comprábamos no alcanzaba, y no teníamos dinero para comprar más."
pages_1_elements_2_elements_0_choices_0_text,pages_1_elements_2_elements_1_choices_0_text,Never true,Never true,missing key,Never true,missing key,Never true,Trifft nie zu,Trifft nie zu,missing key,missing key,Nunca,missing key,missing key,Nunca
pages_1_elements_2_elements_0_choices_1_text,pages_1_elements_2_elements_1_choices_1_text,Sometimes true,Sometimes true,missing key,Sometimes true,missing key,Sometimes true,Trifft manchmal zu,Trifft manchmal zu,missing key,missing key,A veces,missing key,missing key,A veces
pages_1_elements_2_elements_0_choices_2_text,pages_1_elements_2_elements_1_choices_2_text,Often true,Often true,missing key,Often true,missing key,Often true,Trifft oft zu,Trifft oft zu,missing key,missing key,Frecuentemente,missing key,missing key,Frecuentemente
pages_1_elements_2_elements_1_title,pages_1_elements_2_elements_1_title,We couldn't afford to eat balanced meals.,We couldn't afford to eat balanced meals.,missing key,We couldn't afford to eat balanced meals.,missing key,We couldn't afford to eat balanced meals.,"Wir konnten es uns nicht leisten, ausgewogene Mahlzeiten zu essen.","Wir konnten es uns nicht leisten, ausgewogene Mahlzeiten zu essen.",missing key,missing key,No teníamos recursos suficientes para comer comida variada y nutritiva.,missing key,missing key,No teníamos recursos suficientes para comer comida variada y nutritiva.
pages_1_elements_0_elements_0_labelFalse,pages_1_elements_2_elements_2_labelFalse,No,No,missing key,No,missing key,No,Nein,Nein,missing key,missing key,No,missing key,missing key,No
pages_1_elements_0_elements_0_labelTrue,pages_1_elements_2_elements_2_labelTrue,Yes,Yes,missing key,Yes,missing key,Yes,Ja,Ja,missing key,missing key,Sí,missing key,missing key,Sí
,pages_1_elements_2_elements_2_title,missing key,"In the <b>last 12 months</b>, did you or other adults in your household ever cut the size of your meals or skip meals because there wasn't enough money for food?",missing key,missing key,missing key,missing key,missing key,"Haben Sie oder andere Erwachsene in Ihrem Haushalt in den <b>letzten 12 Monaten</b> jemals die Menge Ihrer Mahlzeiten reduziert oder Mahlzeiten ausgelassen, weil nicht genug Geld für Lebensmittel vorhanden war?",missing key,missing key,missing key,missing key,missing key,"En <b>los últimos 12 meses</b>, ¿usted u otros adultos del hogar redujeron la cantidad de sus comidas o se saltaron comidas porque les faltaba dinero para alimentos?"
pages_1_elements_2_elements_3_choices_0_text,pages_1_elements_2_elements_3_choices_0_text,Almost every month,Almost every month,missing key,Almost every month,missing key,Almost every month,Fast jeden Monat,Fast jeden Monat,missing key,missing key,Casi todos los meses,missing key,missing key,Casi todos los meses
pages_1_elements_2_elements_3_choices_1_text,pages_1_elements_2_elements_3_choices_1_text,Some months but not every month,Some months but not every month,missing key,Some months but not every month,missing key,Some months but not every month,In einigen Monaten aber nicht jeden Monat,In einigen Monaten aber nicht jeden Monat,missing key,missing key,Algunos meses,missing key,missing key,Algunos meses
pages_1_elements_2_elements_3_choices_2_text,pages_1_elements_2_elements_3_choices_2_text,Only 1 or 2 months,Only 1 or 2 months,missing key,Only 1 or 2 months,missing key,Only 1 or 2 months,Nur in 1 oder 2 Monaten,Nur in 1 oder 2 Monaten,missing key,missing key,Solo 1 ó 2 meses,missing key,missing key,Solo 1 ó 2 meses
pages_1_elements_2_elements_3_title,pages_1_elements_2_elements_3_title,"If yes, how often did this happen - almost every month, some months but not every month, or in only 1 or 2 months?","If yes, how often did this happen - almost every month, some months but not every month, or in only 1 or 2 months?",missing key,"If yes, how often did this happen - almost every month, some months but not every month, or in only 1 or 2 months?",missing key,"If yes, how often did this happen - almost every month, some months but not every month, or in only 1 or 2 months?","Wenn ja, wie oft ist kam dies vor - fast jeden Monat, in einigen Monaten aber nicht in jedem Monat, nur in 1 oder 2 Monaten?","Wenn ja, wie oft ist kam dies vor - fast jeden Monat, in einigen Monaten aber nicht in jedem Monat, nur in 1 oder 2 Monaten?",missing key,missing key,"En caso afirmativo, ¿con qué frecuencia: casi todos los meses, algunos meses, solo 1 o 2 meses?",missing key,missing key,"En caso afirmativo, ¿con qué frecuencia: casi todos los meses, algunos meses, solo 1 o 2 meses?"
,pages_1_elements_2_title,missing key,"These are statements people have made about their food situation. For these statements, please mark whether the statement was often true, sometimes true, or never true for your household <b>in the last 12 months.</b>",missing key,"These are statements people have made about their food situation. For these statements, please mark whether the statement was often true, sometimes true, or never true for your household in the <b>last 12 months</b>.",missing key,"These are statements people have made about their food situation. For these statements, please mark whether the statement was often true, sometimes true, or never true for your household in the <b>last 12 months</b>.",missing key,"Dies sind Aussagen, die Menschen über ihre Ernährungssituation gemacht haben. Bitte kreuzen Sie für diese Aussagen an, ob die Aussage in den <b>letzten 12 Monaten</b> für Ihren Haushalt oft, manchmal oder nie stimmte.",missing key,missing key,missing key,missing key,missing key,"Estas son declaraciones que las personas han hecho sobre situaciones alimentarias. Para cada uno, favor de indicar si ha ocurrido frecuentemente, a veces, o nunca (a Ud. / en su hogar) en <b>los últimos 12 meses</b>."
,pages_2_elements_0_elements_0_choices_0_text,missing key,Definitely untrue,missing key,missing key,missing key,Definitely Untrue,missing key,Definitiv unwahr,missing key,missing key,missing key,missing key,missing key,Totalmente falso
,pages_2_elements_0_elements_0_choices_1_text,missing key,Somewhat untrue,missing key,missing key,missing key,Somewhat Untrue,missing key,Eher unwahr,missing key,missing key,missing key,missing key,missing key,Algo falso
,pages_2_elements_0_elements_0_choices_2_text,missing key,Somewhat true,missing key,missing key,missing key,Somewhat True,missing key,Eher wahr,missing key,missing key,missing key,missing key,missing key,Algo verdadero
,pages_2_elements_0_elements_0_choices_3_text,missing key,Definitely true,missing key,missing key,missing key,Definitely True,missing key,Definitiv wahr,missing key,missing key,missing key,missing key,missing key,Totalmente verdadero
pages_2_elements_0_elements_0_title,pages_2_elements_0_elements_0_title,We are usually able to stay on top of things.,We are usually able to stay on top of things.,missing key,We are usually able to stay on top of things.,missing key,We are usually able to stay on top of things.,"Wir sind in der Regel in der Lage, den Überblick zu behalten.","Wir sind in der Regel in der Lage, den Überblick zu behalten.",missing key,missing key,Normalmente somos capaces de estar al día con las actividades.,missing key,missing key,Normalmente somos capaces de estar al día con las actividades.
,pages_2_elements_0_elements_1_choices_0_text,missing key,Definitely untrue,missing key,missing key,missing key,Definitely Untrue,missing key,Definitiv unwahr,missing key,missing key,missing key,missing key,missing key,Totalmente falso
,pages_2_elements_0_elements_1_choices_1_text,missing key,Somewhat untrue,missing key,missing key,missing key,Somewhat Untrue,missing key,Eher unwahr,missing key,missing key,missing key,missing key,missing key,Algo falso
,pages_2_elements_0_elements_1_choices_2_text,missing key,Somewhat true,missing key,missing key,missing key,Somewhat True,missing key,Eher wahr,missing key,missing key,missing key,missing key,missing key,Algo verdadero
,pages_2_elements_0_elements_1_choices_3_text,missing key,Definitely true,missing key,missing key,missing key,Definitely True,missing key,Definitiv wahr,missing key,missing key,missing key,missing key,missing key,Totalmente verdadero
pages_2_elements_0_elements_1_title,pages_2_elements_0_elements_1_title,You can't hear yourself think in our home.,You can't hear yourself think in our home.,missing key,You can't hear yourself think in our home.,missing key,You can't hear yourself think in our home.,Bei uns zu Hause versteht man sein eigenes Wort nicht.,Bei uns zu Hause versteht man sein eigenes Wort nicht.,missing key,missing key,En nuestra casa hay tanto ruido que no escuchas ni tus pensamientos.,missing key,missing key,En nuestra casa hay tanto ruido que no escuchas ni tus pensamientos.
,pages_2_elements_0_elements_2_choices_0_text,missing key,Definitely untrue,missing key,missing key,missing key,Definitely Untrue,missing key,Definitiv unwahr,missing key,missing key,missing key,missing key,missing key,Totalmente falso
,pages_2_elements_0_elements_2_choices_1_text,missing key,Somewhat untrue,missing key,missing key,missing key,Somewhat Untrue,missing key,Eher unwahr,missing key,missing key,missing key,missing key,missing key,Algo falso
,pages_2_elements_0_elements_2_choices_2_text,missing key,Somewhat true,missing key,missing key,missing key,Somewhat True,missing key,Eher wahr,missing key,missing key,missing key,missing key,missing key,Algo verdadero
,pages_2_elements_0_elements_2_choices_3_text,missing key,Definitely true,missing key,missing key,missing key,Definitely True,missing key,Definitiv wahr,missing key,missing key,missing key,missing key,missing key,Totalmente verdadero
pages_2_elements_0_elements_2_title,pages_2_elements_0_elements_2_title,The atmosphere in our home is calm.,The atmosphere in our home is calm.,missing key,The atmosphere in our home is calm.,missing key,The atmosphere in our home is calm.,Die Atmosphäre in unserem Haus ist ruhig.,Die Atmosphäre in unserem Haus ist ruhig.,missing key,missing key,El ambiente de nuestra casa es muy calmado.,missing key,missing key,El ambiente de nuestra casa es muy calmado.
,pages_2_elements_0_elements_3_choices_0_text,missing key,Definitely untrue,missing key,missing key,missing key,Definitely Untrue,missing key,Definitiv unwahr,missing key,missing key,missing key,missing key,missing key,Totalmente falso
,pages_2_elements_0_elements_3_choices_1_text,missing key,Somewhat untrue,missing key,missing key,missing key,Somewhat Untrue,missing key,Eher unwahr,missing key,missing key,missing key,missing key,missing key,Algo falso
,pages_2_elements_0_elements_3_choices_2_text,missing key,Somewhat true,missing key,missing key,missing key,Somewhat True,missing key,Eher wahr,missing key,missing key,missing key,missing key,missing key,Algo verdadero
,pages_2_elements_0_elements_3_choices_3_text,missing key,Definitely true,missing key,missing key,missing key,Definitely True,missing key,Definitiv wahr,missing key,missing key,missing key,missing key,missing key,Totalmente verdadero
pages_2_elements_0_elements_3_title,pages_2_elements_0_elements_3_title,We have a regular morning routine at home.,We have a regular morning routine at home.,missing key,We have a regular morning routine at home.,missing key,We have a regular morning routine at home.,Wir haben zu Hause eine regelmäßige Morgenroutine.,Wir haben zu Hause eine regelmäßige Morgenroutine.,missing key,missing key,"En nuestra casa, tenemos una rutina matutina regular.",missing key,missing key,"En nuestra casa, tenemos una rutina matutina regular."
pages_2_elements_0_title,pages_2_elements_0_title,Below are statements about the environment in your home. Please indicate how much you agree that the statement is true of your home.,Below are statements about the environment in your home. Please indicate how much you agree that the statement is true of your home.,missing key,Below are statements about the environment in your home. Please indicate how much you agree that the statement is true of your home.,missing key,Below are statements about the environment in your home. Please indicate how much you agree that the statement is true of your home.,"Im Folgenden finden Sie Aussagen über die häusliche Umgebung. Bitte geben Sie an, inwieweit Sie der Aussage zustimmen, dass sie auf Ihr Zuhause zutrifft.","Im Folgenden finden Sie Aussagen über die häusliche Umgebung. Bitte geben Sie an, inwieweit Sie der Aussage zustimmen, dass sie auf Ihr Zuhause zutrifft.",missing key,missing key,A continuación encontrará una serie de afirmaciones sobre el entorno de su hogar. Indique qué tan cierta es cada afirmación para su hogar.,missing key,missing key,A continuación encontrará una serie de afirmaciones sobre el entorno de su hogar. Indique qué tan cierta es cada afirmación para su hogar.
pages_3_elements_0_columns_0_text,pages_3_elements_0_columns_0_text,Not at all,Not at all,missing key,Not at all,missing key,Not at all,Überhaupt nicht,Trifft überhaupt nicht zu,missing key,missing key,Nunca,missing key,missing key,Para nada
pages_3_elements_0_columns_1_text,pages_3_elements_0_columns_1_text,Several days,Several days,missing key,Several days,missing key,Several days,Mehrere Tage,Mehrere Tage,missing key,missing key,Varios días,missing key,missing key,Varios días
pages_3_elements_0_columns_2_text,pages_3_elements_0_columns_2_text,More than half of the days,More than half of the days,missing key,More than half of the days,missing key,More than half of the days,Mehr als die Hälfte der Tage,Mehr als die Hälfte der Tage,missing key,missing key,Más de la mitad de los días,missing key,missing key,Más de la mitad de los días
pages_3_elements_0_columns_3_text,pages_3_elements_0_columns_3_text,Nearly every day,Nearly every day,missing key,Nearly every day,missing key,Nearly every day,Fast jeden Tag,Fast jeden Tag,missing key,missing key,Casi todos los días,missing key,missing key,Casi todos los días
pages_3_elements_0_rows_1_text,pages_3_elements_0_rows_0_text,Not being able to stop or control worrying,Not being able to stop or control worrying,missing key,Not being able to stop or control worrying,missing key,Not being able to stop or control worrying,"Nicht in der Lage zu sein, das Grübeln zu beenden oder zu kontrollieren","Nicht in der Lage zu sein, das Grübeln zu beenden oder zu kontrollieren",missing key,missing key,No poder parar o controlar las preocupaciones,missing key,missing key,No poder parar o controlar las preocupaciones
pages_3_elements_0_rows_2_text,pages_3_elements_0_rows_1_text,"Feeling down, depressed, or hopeless","Feeling down, depressed, or hopeless",missing key,"Feeling down, depressed, or hopeless",missing key,"Feeling down, depressed, or hopeless","Sich niedergeschlagen, deprimiert oder hoffnungslos fühlen","Sich niedergeschlagen, deprimiert oder hoffnungslos fühlen",missing key,missing key,"Sentirse decaído, deprimido o desesperanzado.",missing key,missing key,"Sentirse decaído, deprimido o desesperanzado."
pages_3_elements_0_rows_3_text,pages_3_elements_0_rows_2_text,Little interest or pleasure in doing things,Little interest or pleasure in doing things,missing key,Little interest or pleasure in doing things,missing key,Little interest or pleasure in doing things,Wenig Interesse oder Freude am Tun,Wenig Interesse oder Freude am Tun,missing key,missing key,Poco interés o placer por hacer cosas,missing key,missing key,Poco interés o placer por hacer cosas
,pages_3_elements_0_title,missing key,"Over the <b>last two weeks</b>, how often have you been bothered by the following problems?",missing key,missing key,missing key,missing key,missing key,Wie oft wurden Sie in den <b>letzten zwei Wochen</b> von den folgenden Problemen geplagt?,missing key,missing key,missing key,missing key,missing key,"En las <b>últimas dos semanas</b>, ¿con qué frecuencia se sintió usted afectado por los siguientes problemas?"
pages_3_elements_1_columns_0_text,pages_3_elements_1_columns_0_text,Very Strongly Disagree,Very Strongly Disagree,missing key,missing key,missing key,missing key,Sehr stark ablehnen,Sehr stark ablehnen,missing key,missing key,Totalmente en desacuerdo,missing key,missing key,Totalmente en desacuerdo
pages_3_elements_1_columns_1_text,pages_3_elements_1_columns_1_text,Strongly Disagree,Strongly Disagree,missing key,missing key,missing key,missing key,Stark ablehnen,Stark ablehnen,missing key,missing key,Muy en desacuerdo,missing key,missing key,Completamente en desacuerdo
pages_3_elements_1_columns_2_text,pages_3_elements_1_columns_2_text,Mildly Disagree,Mildly Disagree,missing key,Mildly Disagree,missing key,Mildly Disagree,Leicht ablehnen,Leicht ablehnen,missing key,missing key,Algo en desacuerdo,missing key,missing key,En desacuerdo
,pages_3_elements_1_columns_3_text,missing key,Neutral,missing key,Neutral ,missing key,missing key,missing key,missing key,missing key,missing key,missing key,missing key,missing key,missing key
pages_3_elements_1_columns_4_text,pages_3_elements_1_columns_4_text,Mildly Agree,Mildly Agree,missing key,Mildly Agree,missing key,Mildly Agree,Leicht zustimmen,Leicht zustimmen,missing key,missing key,Ligeramente de acuerdo,missing key,missing key,De acuerdo
pages_3_elements_1_columns_5_text,pages_3_elements_1_columns_5_text,Strongly Agree,Strongly Agree,missing key,Strongly Agree,missing key,Strongly Agree,Stark zustimmen,Stark zustimmen,missing key,missing key,Muy de acuerdo,missing key,missing key,Completamente de acuerdo
pages_3_elements_1_columns_6_text,pages_3_elements_1_columns_6_text,Very Strongly Agree,Very Strongly Agree,missing key,Very Strongly Agree,missing key,Very Strongly Agree,Sehr stark zustimmen,Sehr stark zustimmen,missing key,missing key,Totalmente de acuerdo,missing key,missing key,Totalmente de acuerdo
pages_3_elements_1_rows_0_text,pages_3_elements_1_rows_0_text,"There is a special person (ex: spouse, partner, etc.) who is around when I am in need.","There is a special person (ex: spouse, partner, etc.) who is around when I am in need.",missing key,"There is a special person (ex: spouse, partner, etc.) who is around when I am in need.",missing key,"There is a special person (ex: spouse, partner, etc.) who is around when I am in need.","Es gibt eine besondere Person (z. B. Ehepartner, Partner usw.), die für mich da ist, wenn ich in Not bin.","Es gibt eine besondere Person (z. B. Ehepartner, Partner usw.), die für mich da ist, wenn ich in Not bin.",missing key,missing key,"Hay una persona especial (cónyuge, pareja, etc.) que está a mi lado cuando la necesito.",missing key,missing key,"Hay una persona especial (cónyuge, pareja, etc.) que está a mi lado cuando la necesito."
pages_3_elements_1_rows_1_text,pages_3_elements_1_rows_1_text,"There is a special person (ex: spouse, partner, etc.) with whom I can share joys and sorrows.","There is a special person (ex: spouse, partner, etc.) with whom I can share joys and sorrows.",missing key,"There is a special person (ex: spouse, partner, etc.) with whom I can share joys and sorrows.",missing key,"There is a special person (ex: spouse, partner, etc.) with whom I can share joys and sorrows.","Es gibt eine besondere Person (z. B. Ehepartner, Partner usw.), mit der ich Freud und Leid teilen kann.","Es gibt eine besondere Person (z. B. Ehepartner, Partner usw.), mit der ich Freud und Leid teilen kann.",missing key,missing key,"Hay una persona especial (cónyuge, pareja, etc.) con la que puedo compartir alegrías y penas.",missing key,missing key,"Hay una persona especial (cónyuge, pareja, etc.) con la que puedo compartir alegrías y penas."
pages_3_elements_1_rows_3_text,pages_3_elements_1_rows_2_text,I get the emotional help & support I need from my family.,I get the emotional help & support I need from my family.,missing key,I get the emotional help & support I need from my family.,missing key,I get the emotional help & support I need from my family.,"Ich bekomme die emotionale Hilfe und Unterstützung, die ich brauche, von meiner Familie.","Ich bekomme die emotionale Hilfe und Unterstützung, die ich brauche, von meiner Familie.",missing key,missing key,Recibo la ayuda y el apoyo emocional que necesito de mi familia.,missing key,missing key,Recibo la ayuda y el apoyo emocional que necesito de mi familia.
