key,comparison,caregiver_lang,parent_lang,caregiver_value,parent_value
pages_15_elements_0_elements_5_choices_3_text,caregiver es-CO vs parent es-CO,es-CO,es-CO,Menos de la mitad del tiempo,Menos de la mitad de las veces
pages_15_elements_0_elements_6_choices_2_text,caregiver es-CO vs parent es-CO,es-CO,es-CO,La mitad de las veces,La mitad del tiempo
pages_15_elements_0_elements_6_choices_3_text,caregiver es-CO vs parent es-CO,es-CO,es-CO,Menos de la mitad del tiempo,Menos de la mitad de las veces
pages_15_elements_0_elements_6_title,caregiver en-US vs parent en,en-US,en,How often is your child expected to care for younger family members when you and other adults are not available?,"How often is your child expected to help manage his/her own time (get up on time, be ready for school, etc.)?"
pages_15_elements_0_elements_6_title,caregiver en-US vs parent en-US,en-US,en-US,How often is your child expected to care for younger family members when you and other adults are not available?,"How often is your child expected to help manage his/her own time (get up on time, be ready for school, etc.)?"
pages_16_elements_2_elements_2_title,caregiver en-US vs parent en-US,en-US,en-US,Shouted or yelled at him/her.,"Shouted, yelled at or screamed at him/her."
pages_16_elements_2_title,caregiver en-US vs parent default,en-US,default,All adults use certain ways to teach children the right behavior or to address a behavior problem. Please read the following methods that are used and select whether you or anyone else in your household has used this with your child in the <b>past month</b>.,All adults use certain ways to teach children the right behavior or to address a behavior problem. Please read the following methods that are used and select whether you or anyone else in your household has used this with your child in the past month.
pages_16_elements_3_title,caregiver es-CO vs parent es-CO,es-CO,es-CO,"Sometimes children get so angry at their parents that they say things like I hate you or swear in a temper tantrum. If your child said something like I hate you or swore at you, would you...","A veces los niños(as) se enfadan tanto con sus padres que dicen cosas como te odio o dicen palabrotas en medio de un rabieta. Si su niño(a) le dijera te odio o le ofendiera,... ¿usted...?"
pages_1_elements_0_html,caregiver es-CO vs parent es-CO,es-CO,es-CO,"<block><b><font face=""Verdana"" size=""4"">En esta sección se indaga por información general y por la salud de su niño(a).</b>","<block><b><font face=""Verdana"" size=""4"">En esta sección se indaga por información general y por la salud de su niño(a)."
pages_1_elements_0_html,caregiver en-US vs parent default,en-US,default,"<block><b><font face=""Verdana"" size=""4"">This section asks general information questions and questions about your child's health.</b>","<block><b><font face=""Verdana"" size=""4"">This section asks general information questions and questions about your child's health."
pages_1_elements_0_title,caregiver es-CO vs parent es-CO,es-CO,es-CO,<block><b>En esta sección se indaga por información general y por la salud de su niño(a).</b>,"<block><b><font face=""Verdana"" size=""4"">En esta sección se indaga por información general y por la salud de su niño(a)."
pages_1_elements_0_title,caregiver en-US vs parent default,en-US,default,"<block><b><font face=""Verdana"" size=""4"">This section asks general information questions and questions about your child's health.</b>",This section asks general information questions and questions about your child's health.
pages_1_elements_0_title,caregiver en-US vs parent en,en-US,en,"<block><b><font face=""Verdana"" size=""4"">This section asks general information questions and questions about your child's health.</b>","<block><b><font face=""Verdana"" size=""4"">This section asks general information questions and questions about your child's health."
pages_1_elements_0_title,caregiver en-US vs parent en-US,en-US,en-US,"<block><b><font face=""Verdana"" size=""4"">This section asks general information questions and questions about your child's health.</b>","<block><b><font face=""Verdana"" size=""4"">This section asks general information questions and questions about your child's health."
pages_4_elements_0_elements_0_elements_1_title,caregiver en-US vs parent default,en-US,default,Does your child <b>CURRENTLY</b > have Behavioral or Conduct Problems?,Does your child <b>CURRENTLY</b> have Behavioral or Conduct Problems?
pages_5_elements_2_choices_0_text,caregiver en-US vs parent en-US,en-US,en-US,Female,What is your child's current gender identification?
pages_5_elements_2_choices_1_text,caregiver en-US vs parent en-US,en-US,en-US,Male,What is your child's current gender identification?
pages_5_elements_2_choices_2_text,caregiver en-US vs parent en-US,en-US,en-US,Nonbinary,What is your child's current gender identification?
pages_6_elements_1_elements_0_title,caregiver es-CO vs parent es-CO,es-CO,es-CO,¿Qué diría usted del crecimiento de su niño (en estatura):,¿Qué diría usted del crecimiento de su niña (en estatura):
pages_6_elements_1_elements_1_title,caregiver es-CO vs parent es-CO,es-CO,es-CO,"¿Qué diría usted del crecimiento del vello corporal del niño (por ejemplo, en las axilas)? Diría que el vello corporal de su niño:","¿Qué diría usted del crecimiento del vello corporal de la niña (por ejemplo, en las axilas)? Diría que el vello corporal de su niña:"
pages_6_elements_1_title,caregiver es-CO vs parent es-CO,es-CO,es-CO,"Para cada pregunta, seleccione la respuesta que mejor describa lo que le ocurre a su niño en este momento.","Para cada pregunta, seleccione la respuesta que mejor describa lo que le ocurre a su niña en este momento."
pages_6_elements_2_elements_0_choices_3_text,caregiver en-US vs parent en-US,en-US,en-US,Seems completed (child is about as tall as he is going to get),Seems completed (child is about as tall as she is going to get)
pages_6_elements_2_elements_1_choices_3_text,caregiver es-CO vs parent es-CO,es-CO,es-CO,Parece que ha terminado de crecer (la niña tiene todo el vello corporal que va a tener),Parece que ha terminado de crecer (el niño tiene todo el vello corporal que va a tener)
pages_6_elements_2_elements_1_choices_3_text,caregiver en-US vs parent en-US,en-US,en-US,Seems completed (child has as much body hair as he is going to get),Seems completed (child has as much body hair as she is going to get)
