key,comparison,caregiver_lang,parent_lang,caregiver_value,parent_value
pages_2_elements_0_elements_2_choices_0_text,caregiver en-US vs parent en-US,en-US,en-US,Definitely untrue,Definitely Untrue
pages_2_elements_0_elements_2_choices_1_text,caregiver en-US vs parent en-US,en-US,en-US,Somewhat untrue,Somewhat Untrue
pages_2_elements_0_elements_2_choices_2_text,caregiver en-US vs parent en-US,en-US,en-US,Somewhat true,Somewhat True
pages_2_elements_0_elements_2_choices_3_text,caregiver en-US vs parent en-US,en-US,en-US,Definitely true,Definitely True
pages_2_elements_0_elements_3_choices_0_text,caregiver en-US vs parent en-US,en-US,en-US,Definitely untrue,Definitely Untrue
pages_2_elements_0_elements_3_choices_1_text,caregiver en-US vs parent en-US,en-US,en-US,Somewhat untrue,Somewhat Untrue
pages_2_elements_0_elements_3_choices_2_text,caregiver en-US vs parent en-US,en-US,en-US,Somewhat true,Somewhat True
pages_2_elements_0_elements_3_choices_3_text,caregiver en-US vs parent en-US,en-US,en-US,Definitely true,Definitely True
pages_3_elements_1_columns_3_text,caregiver en-US vs parent en,en-US,en,Neutral,Neutral 
pages_3_elements_1_rows_2_text,caregiver en-US vs parent default,en-US,default,I get the emotional help & support I need from my family,I get the emotional help & support I need from my family.
pages_3_elements_1_rows_2_text,caregiver en-US vs parent en,en-US,en,I get the emotional help & support I need from my family,I get the emotional help & support I need from my family.
pages_3_elements_1_rows_2_text,caregiver en-US vs parent en-US,en-US,en-US,I get the emotional help & support I need from my family,I get the emotional help & support I need from my family.
pages_4_elements_0_elements_1_elements_2_title,caregiver en-US vs parent default,en-US,default,Retirement.,Retirement
pages_4_elements_0_title,caregiver en-US vs parent default,en-US,default,Please select Yes or No to indicate whether each event has happened to you <b>in the past year</b>.,Please select Yes or No to indicate whether each event has happened to you <b>in the past year.</b>
pages_5_elements_0_title,caregiver en-US vs parent default,en-US,default,"<b>Instructions:</b> Think of this line as representing where people stand in the <i>country where you live</i>. To the <b>right</b> are the people who are the best off - those who have the most money, the most education, and the most respected jobs. To the <b>left</b> are the people who are the worst off - those who have the least money, the least education, the least respected jobs, or no job. The further to the right you are on the line, the closer you are to the people at the very top; the further to the left you are, the closer you are to the people at the very bottom.<br><b>Where would you place yourself on this line?</b><br>Move the slider to where you think you stand at this time in your life relative to other people in your country.","<b>Instructions:</b> Think of this line as representing where people stand in the <i>country where you live</i>. To the <b>right</b> are the people who are the best off - those who have the most money, the most education, and the most respected jobs. To the <b>left</b> are the people who are the worst off - those who have the least money, the least education, the least respected jobs, or no job. The further to the right you are on the line, the closer you are to the people at the very top; the further to the left you are, the closer you are to the people at the very bottom. <br><b>Where would you place yourself on this line?</b><br> Move the slider to where you think you stand at this time in your life relative to other people in your country."
pages_5_elements_1_title,caregiver en-US vs parent default,en-US,default,<b>Instructions:</b> Think of this line as representing where people stand in their <i>communities</i>. People define community in different ways; please define it in whatever way is most meaningful to you. To the <b>right</b> are people who have the highest standing in their community. To the <b>left</b> are the people who have the lowest standing in their community.<br><b>Where would you place yourself on this line?</b><br>Move the slider to where you think you stand at this time in your life relative to other people in your community.,<b>Instructions:</b> Think of this line as representing where people stand in their <i>communities</i>. People define community in different ways; please define it in whatever way is most meaningful to you. To the <b>right</b> are people who have the highest standing in their community. To the <b>left</b> are the people who have the lowest standing in their community. <br><b>Where would you place yourself on this line?<b><br>Move the slider to where you think you stand at this time in your life relative to other people in your community.
