item_id,source,translation,score
matrix-reasoning-instruct2,See this big puzzle? It's missing a piece! Which piece goes in the puzzle?,Siehst du dieses große Puzzle? Es fehlt ein Teil! Welches Teil gehört in das Puzzle?,0.8460004925727844
matrix-reasoning-prompt1,Choose the best pattern to fill in the blank.,"Wähle das beste Muster, um die Lücke zu füllen.",0.8322027921676636
mental-rotation,Do you see these two outlines? One goes with this shape. Let’s see which one goes with the shape.,"Siehst du diese beiden Schatten? Einer passt zu der Form. Lass uns schauen, welcher zur Form passt.",0.78885418176651
mental-rotation-training-instruct2,Let's see if this shape goes with the outline. This shape doesn’t go with the outline.,"Mal sehen, ob diese Form zu dem Schatten passt. Diese Form passt nicht zum Schatten.",0.7804543972015381
mental-rotation-training-instruct3,Let's see if this shape goes with the outline. This shape does go with the outline.,"Mal sehen, ob diese Form zu dem Schatten passt. Diese Form passt zu dem Schatten.",0.7293999195098877
mental-rotation-test-instruct4,Now you try! Can you find the shape that goes with the outline?,"Jetzt bist du dran! Kannst du die Form finden, die zum Schatten passt?",0.6349565982818604
mental-rotation-instruct-3D,Now you will see pictures that show blocks with three sides. Your task is to choose the matching picture.,"Jetzt siehst du Bilder, die Blöcke mit drei Seiten zeigen.  Deine Aufgabe ist es, das passende Bild auszuwählen.",0.8608579635620117
mental-rotation-prompt2,Choose the picture that matches this one.,"Wähle das Bild aus, das hierzu passt.",0.843757152557373
mental-rotation-prompt1,Choose the matching picture.,Wähle das passende Bild aus.,0.8472791314125061
math-instructions1,"In this game, you will do some math problems. Some will be like the ones you do in school and some will be a little different than what you do in school. 

Some questions might be easy for you and some might be hard. That is okay! Please try your best and take your time. Most of the questions will have four choices. You choose the one you think is right. Let’s get started!","In diesem Spiel wirst du einige mathematische Aufgaben lösen. Einige sind wie die, die du in der Schule machst, und einige sind etwas anders als die, die du in der Schule machst. 

Einige Fragen könnten leicht für dich sein und einige könnten schwer sein. Das ist nicht schlimm! Bitte gib dein Bestes und nimm dir Zeit. Bei den meisten Fragen gibt es vier Auswahlmöglichkeiten. Du wählst die aus, die du für richtig hältst. Los geht's!",0.8627158403396606
math-intro1,Here is the first section of the game. Let's start with some practice!,Hier kommt der erste Teil. Am Anfang üben wir erstmal nur.,0.7655423283576965
math-intro2,Here is another section. The first few are for practice.,Jetzt kommt der nächste Teil. Die ersten paar sind wieder zum Üben.,0.6989699006080627
math-intro-fractions,In this section sometimes you will add and sometimes you will subtract. Be sure to look carefully for the plus or minus sign. The first few are for practice.,"In diesem Teil musst du manchmal addieren und manchmal subtrahieren. Schau also genau, ob da ein Plus oder ein Minus steht. Die ersten paar sind wieder zum Üben.",0.8023704886436462
number-comparison-prompt1,Which number is larger?,Welche Zahl ist größer?,0.859606146812439
number-comparison-prompt2,Which is larger?,Welche ist größer?,0.8576415777206421
number-identification-prompt1,Choose the number you hear.,"Wähle die Zahl, die du hörst.",0.8175197839736938
missing-number-prompt1,What number goes in the blank?,Welche Zahl gehört in die Lücke?,0.71124666929245
missing-number-prompt2,What number goes here?,Welche Zahl gehört hierher?,0.8230010271072388
missing-number-prompt3,What numbers go in the blanks?,Welche Zahlen gehören in die Lücken?,0.7762578129768372
addition-prompt1,Add the numbers and choose the correct answer.,Addiere die Zahlen und wähle die richtige Antwort.,0.8617066144943237
addition-prompt2,Add the numbers.,Addiere die Zahlen. ,0.8467183113098145
subtraction-prompt1,Subtract the numbers and choose the correct answer.,Ziehe die Zahlen ab und wähle die richtige Antwort.,0.8521588444709778
subtraction-prompt2,Subtract the numbers.,Ziehe die Zahlen ab. ,0.8310286998748779
multiplication-prompt1,Multiply the numbers and choose the correct answer.,Multipliziere die Zahlen und wähle die richtige Antwort.,0.8622713088989258
multiplication-prompt2,Multiply the numbers.,Multipliziere die Zahlen. ,0.8466646671295166
number-line-instruct1,Here is a number line. You can move the slider forward and backward along the line. Move the slider so it is in the right place to show where the number belongs. Make sure you look at the numbers at each end when deciding where to move the slider.,"Hier ist eine Zahlenreihe. Du kannst den Schieber vorwärts und rückwärts entlang der Linie bewegen. Ändere den Schieber so, dass er sich an der richtigen Stelle befindet, um zu zeigen, wo die Zahl hingehört. Achte darauf, dass du die Zahlen an beiden Enden ansiehst, wenn du entscheidest, wohin du den Schieber platzierst. ",0.8488030433654785
number-line-prompt1,Choose the number that is marked on the number line.,"Wähle die Zahl, die auf der Zahlenreihe markiert ist.",0.8379838466644287
number-line-slider-prompt1,Move the slider to mark the number.,Bewege den Schieber auf die angegebene Zahl.,0.768751859664917
number-identification-1,Choose the number 1.,Wähle die Zahl Eins.,0.856044352054596
number-identification-2,Choose the 2.,Wähle die Zwei.,0.8107026815414429
number-identification-3,Choose the 9.,Wähle die Neun.,0.8151761889457703
number-identification-4,Choose the 0.,Wähle die Null.,0.8559037446975708
number-identification-5,Choose the 12.,Wähle die Zwölf.,0.7906676530838013
number-identification-6,Choose the 30.,Wähle die Dreißig.,0.7999802827835083
number-identification-7,Choose the 22.,Wähle die  Zweiundzwanzig.,0.7187453508377075
number-identification-8,Choose the 45.,Wähle die  Fünfundvierzig.,0.7020871639251709
number-identification-9,Choose the 39.,Wähle die  Neununddreißig.,0.702080488204956
number-identification-10,Choose the 23.,Wähle die  Dreiundzwanzig.,0.7057300806045532
number-identification-11,Choose the 48.,Wähle die  Achtundvierzig.,0.6658062934875488
number-identification-12,Choose the 91.,Wähle die  91.,0.8350111246109009
number-identification-13,Choose the 33.,Wähle die  Dreiunddreißig.,0.711526095867157
number-identification-14,Choose the 74.,Wähle die  Vierundsiebzig.,0.7304820418357849
number-identification-15,Choose the 87.,Wähle die  Siebenundachzig.,0.7046793103218079
number-identification-16,Choose the 65.,Wähle die  65.,0.8089207410812378
number-identification-17,Choose the 108.,Wähle die  Einhundertacht.,0.5290590524673462
number-identification-18,Choose the 245.,Wähle die  Zweihundertfünfundvierzig.,0.7457920908927917
number-identification-19,Choose the 587.,Wähle die  Fünfhundertsiebenundachzig.,0.758041501045227
number-identification-20,Choose the 731.,Wähle die  Siebenhunderteinunddreißig.,0.7751263976097107
number-identification-21,Choose the 989.,Wähle die  Neunhundertneunundachzig.,0.7398819327354431
number-identification-22,Choose the 6.,Wähle die sechs.,0.8457194566726685
number-identification-23,Choose the 14.,Wähle die vierzehn.,0.8189205527305603
number-identification-24,Choose the 18.,Wähle die achtzehn.,0.7946677803993225
number-identification-25,Choose the 26.,Wähle die sechsundzwanzig.,0.7296686768531799
number-identification-26,Choose the 35.,Wähle die fünfunddreißig.,0.7186955213546753
number-identification-27,Choose the 41.,Wähle die einundvierzig.,0.6982893943786621
number-identification-28,Choose the 47.,Wähle die siebenundvierzig.,0.7005933523178101
number-identification-29,Choose the 50.,Wähle die fünfzig.,0.8216568827629089
number-identification-30,Choose the 55.,Wähle die fünfundfünfzig.,0.6945234537124634
number-identification-31,Choose the 66.,Wähle die sechsundsechzig.,0.7217334508895874
number-identification-32,Choose the 67.,Wähle die siebenundsechzig.,0.7024866342544556
number-identification-33,Choose the 88.,Wähle die achtundachtzig.,0.7220408916473389
number-identification-34,Choose the 101.,Wähle die einhunderteins.,0.7417175769805908
number-identification-35,Choose the 426.,Wähle die vierhundertsechsundzwanzig.,0.7594230771064758
number-identification-36,Choose the 131.,Wähle die einhunderteinunddreißig.,0.7682859301567078
number-identification-37,Choose the 256.,Wähle die zweihundertsechsundfünfzig.,0.7495031356811523
number-identification-38,Choose the 349.,Wähle die dreihundertneunundvierzig.,0.7508862018585205
number-identification-39,Choose the 543.,Wähle die fünfhundertdreiundvierzig.,0.7546467185020447
number-identification-40,Choose the 617.,Wähle die sechshundertsiebzehn.,0.6961429715156555
number-identification-41,Choose the 877.,Wähle die achthundertsiebenundsiebzig.,0.7818670272827148
trog-instruct1,"Now we're going to play a matching game! I'm going to say some words, and you choose the picture that goes with what I say. Let's get started!","Jetzt werden wir ein Zuordnungsspiel spielen! Ich werde ein paar Wörter sagen, und du wählst das Bild aus, das zu dem passt, was ich sage. Los geht's!",0.8470547795295715
trog-prompt1,Choose the picture of the...,Berühre das Bild mit dem/der/den...,0.46093520522117615
trog-prompt2,Choose the picture of...,Berühre das Bild mit...,0.5294561982154846
trog-prompt3,Choose the picture that shows...,Berühre das Bild was folgendes zeigt:,0.6882302761077881
trog-item-1,Choose the picture of the shoe.,Wähle das Bild mit dem Schuh.,0.8274038434028625
trog-item-2,Choose the picture of the bird.,Wähle das Bild mit dem Vogel.,0.8476361632347107
trog-item-3,Choose the picture of the comb.,Wähle das Bild mit dem Kamm.,0.8154059648513794
trog-item-4,Choose the picture of the apple.,Wähle das Bild mit dem Apfel.,0.8474351167678833
trog-item-5,Choose the picture that shows eating.,"Wähle das Bild aus, das jemanden beim essen zeigt.",0.8515037298202515
trog-item-6,Choose the picture that shows picking.,"Wähle das Bild aus, das zeigt, wie jemand etwas pflückt.",0.7874748706817627
trog-item-7,Choose the picture that shows sitting.,"Wähle das Bild aus, das zeigt, wie jemand sitzt.",0.8340778350830078
trog-item-8,Choose the picture that shows running.,"Wähle das Bild aus, das zeigt, wie jemand rennt.",0.8478785753250122
trog-item-9,Choose the picture that shows long.,"Wähle das Bild aus, das etwas Langes zeigt.",0.5521048903465271
trog-item-10,Choose the picture that shows tall.,"Wähle das Bild aus, das etwas Großes zeigt.",0.6788560152053833
trog-item-11,Choose the picture that shows red.,"Wähle das Bild aus, das etwas Rotes zeigt.",0.8337814807891846
trog-item-12,Choose the picture that shows black.,"Wähle das Bild aus, das etwas Schwarzes zeigt.",0.8287439346313477
trog-item-13,the boy is running,der Junge rennt.,0.8484053611755371
trog-item-14,the big cup,die große Tasse.,0.7173210382461548
trog-item-15,the dog is sitting,der Hund sitzt.,0.7738199234008789
trog-item-16,the red ball,der rote Ball.,0.8313576579093933
trog-item-17,the boy is not running,der Junge rennt nicht.,0.8217169046401978
trog-item-18,the dog is not drinking,der Hund trinkt nicht.,0.8496394753456116
trog-item-19,the girl is not jumping,das Mädchen hüpft nicht.,0.8207845091819763
trog-item-20,the dog is not sitting,der Hund sitzt nicht.,0.8083548545837402
trog-item-21,the boy is jumping over the box,der Junge springt über den Kasten. ,0.7918278574943542
trog-item-22,the girl is sitting on the table,das Mädchen sitzt auf dem Tisch.,0.8310703039169312
trog-item-23,the man is eating the apple,Der Mann isst einen Apfel.,0.8483980298042297
trog-item-24,the lady is carrying the bag,die Frau trägt eine Tasche.,0.7888427376747131
trog-item-25,they are sitting on the table,sie sitzen auf dem Tisch.,0.6885152459144592
trog-item-26,the cow is looking at them,Die Kuh sieht die Frauen an.,0.8069757223129272
trog-item-27,they are jumping over the wall,sie springen über die Mauer.,0.8159765005111694
trog-item-28,the elephant is carrying them,der Elefant trägt sie,0.8261944651603699
trog-item-29,the girl is pushing the horse,das Mädchen schiebt das Pferd,0.7923747301101685
trog-item-30,the boy is chasing the sheep,der Junge jagt das Schaf,0.8322685956954956
trog-item-31,the man is chasing the dog,der Mann jagt den Hund,0.8283134698867798
trog-item-32,the cow is pushing the lady,die Kuh schiebt die Dame,0.736638605594635
trog-item-33,she is sitting on the chair,sie sitzt auf dem Stuhl.,0.8234180212020874
trog-item-34,the lady is carrying him,die Dame trägt ihn,0.7933295369148254
trog-item-35,he is sitting in the tree,er sitzt auf dem Baum,0.8335189819335938
trog-item-36,the horse is looking at her,das Pferd sieht sie an,0.8194013833999634
trog-item-37,the cats look at the ball,die Katzen schauen auf den Ball,0.851218044757843
trog-item-38,the boy stands on the chairs,der Junge steht auf den Stühlen,0.8083686232566833
trog-item-39,the boys pick the apples,die Jungen pflücken die Äpfel,0.8476080894470215
trog-item-40,the girl drops the cups,das Mädchen lässt die Tassen fallen,0.7816145420074463
trog-item-41,the fork is longer than the pencil,die Gabel ist länger als der Bleistift,0.8274875283241272
trog-item-42,the box is bigger than the cup,die Schachtel ist größer als die Tasse,0.773418128490448
trog-item-43,the shoe is bigger than the bird,der Schuh ist größer als der Vogel,0.8418284058570862
trog-item-44,the horse is taller than the wall,das Pferd ist größer als die Mauer,0.8386992812156677
trog-item-45,the girl is chased by the horse,das Mädchen wird vom Pferd gejagt,0.8285019397735596
trog-item-46,the elephant is pushed by the boy,der Elefant wird von dem Jungen geschoben,0.8229707479476929
trog-item-47,the horse is chased by the man,das Pferd wird von dem Mann gejagt,0.8204602003097534
trog-item-48,the cow is pushed by the man,die Kuh wird von dem Mann geschoben,0.8035376667976379
trog-item-49,the cup is in the box,die Tasse ist in der Schachtel,0.8151974081993103
trog-item-50,the pencil is on the box,der Bleistift ist auf der Schachtel,0.8178695440292358
trog-item-51,the circle is in the star,der Kreis ist im Stern,0.7867972254753113
trog-item-52,the fork is on the shoe,die Gabel ist auf dem Schuh,0.7863072156906128
trog-item-53,the boy chasing the horse is tall,"der Junge, der das Pferd jagt, ist groß",0.8193866014480591
trog-item-54,the pencil on the shoe is blue,der Bleistift auf dem Schuh ist blau,0.8248691558837891
trog-item-55,the cow chasing the cat is brown,"die Kuh, die die Katze jagt, ist braun",0.8351842164993286
trog-item-56,the circle in the star is yellow,der Kreis im Stern ist gelb,0.849897027015686
trog-item-57,the box but not the chair is red,"die Schachtel, aber nicht der Stuhl ist rot",0.8119142055511475
trog-item-58,the cat is big but not black,"die Katze ist groß, aber nicht schwarz",0.8574055433273315
trog-item-59,the horse but not the boy is standing,"das Pferd, aber nicht der Junge, steht",0.7579845190048218
trog-item-60,the boy is sitting but not eating,"der Junge sitzt, aber er isst nichts",0.8437102437019348
trog-item-61,the pencil is above the flower,der Bleistift ist über der Blume,0.8110741376876831
trog-item-62,the comb is below the spoon,der Kamm ist unter dem Löffel,0.8263380527496338
trog-item-63,the star is above the circle,der Stern ist über dem Kreis,0.8258243203163147
trog-item-64,the square is below the star,das Quadrat ist unter dem Stern,0.7994599938392639
trog-item-65,not only the bird but also the flower is blue,"nicht nur der Vogel, sondern auch die Blume ist blau",0.8523241877555847
trog-item-66,the box is not only big but also blue,"die Box ist nicht nur groß, sondern auch blau",0.8418458700180054
trog-item-67,not only the girl but also the cat is sitting,"nicht nur das Mädchen, sondern auch die Katze sitzt",0.8025047779083252
trog-item-68,the girl has not only food but also a drink,"das Mädchen hat nicht nur Essen, sondern auch ein Getränk",0.8301693201065063
trog-item-69,the pencil is on the book that is yellow,"der Bleistift ist auf dem Buch, das gelb ist",0.7862122058868408
trog-item-70,the girl chases the dog that is big,"das Mädchen jagt den Hund, der groß ist",0.8106936812400818
trog-item-71,the square is in the star that is blue,"das Quadrat ist in dem Stern, der blau ist",0.7478965520858765
trog-item-72,the dog chases the horse that is brown,"der Hund jagt das Pferd, das braun ist",0.8522995114326477
trog-item-73,neither the dog nor the ball is brown,weder der Hund noch der Ball sind braun,0.8565637469291687
trog-item-74,the pencil is neither long nor red,der Bleistift ist weder lang noch rot,0.8277052044868469
trog-item-75,neither the boy nor the horse is running,weder der Junge noch das Pferd rennt,0.8088686466217041
trog-item-76,the boy has neither hat nor shoes,der Junge hat weder Hut noch Schuhe,0.857393741607666
trog-item-77,the book the pencil is on is red,"das Buch, auf dem der Bleistift liegt, ist rot",0.83083176612854
trog-item-78,the cat the cow chases is black,"die Katze, die die Kuh jagt, ist schwarz",0.8300904035568237
trog-item-79,the circle the star is in is red,"der Kreis, in dem sich der Stern befindet, ist rot",0.8561636805534363
trog-item-80,the boy the dog chases is big,"der Junge, den der Hund jagt, ist groß",0.8290525078773499
trog-item-81,the horse drank water by the barn and the sheep ate grass by the fence,Das Pferd trank Wasser bei der Scheune und das Schaf fraß Gras am Zaun.,0.8545738458633423
trog-item-82,the student opened the notebook and drew a tree,der Schüler öffnete das Heft und zeichnete einen Baum,0.8556252121925354
trog-item-83,we will have a picnic in the park if it is sunny,"Wenn es sonnig ist, werden wir im Park ein Picknick machen.",0.8684758543968201
trog-item-84,he found his keys under the couch with the pillows,er fand seine Schlüssel unter der Couch mit den Kissen,0.8477055430412292
trog-item-85,she is the gardener who wears the hat that has a flower,"sie ist die Gärtnerin, die den Hut mit einer Blume trägt",0.8512916564941406
trog-item-86,She tripped on a rock and dropped her books.,Sie stolperte über einen Stein und ließ ihre Bücher fallen.,0.8428961634635925
trog-item-87,The teacher will give the students cake if they stand in a line.,"Die Lehrerin gibt den Schülern Kuchen, wenn sie in einer Reihe stehen.",0.8472675681114197
trog-item-88,We will dance together if there is music playing.,"Wir tanzen zusammen, wenn Musik läuft.",0.8572715520858765
trog-item-89,"Although it is hot outside, I am wearing a jacket with a hood.","Obwohl es draußen heiß ist, trage ich eine Jacke mit Kapuze.",0.8695552945137024
trog-item-90,"He likes swimming. However, he chose to play soccer with his friends.","Er schwimmt gerne, aber er hat sich entschieden, mit seinen Freunden Fußball zu spielen.",0.8721197843551636
trog-item-91,"Despite the noise in the classroom, she focused on reading her notebook.",Trotz des Lärms im Klassenzimmer konzentrierte sie sich auf das Lesen ihres Heftes.,0.8611781001091003
trog-item-92,He wore the clown's hat despite its large size.,"Er trug die Mütze vom Clown, obwohl sie so groß ist.",0.8168576955795288
trog-item-93,The duck following the turtle is walking across the bridge.,"Die Ente, die der Schildkröte folgt, geht über die Brücke.",0.8406994938850403
trog-item-94,Bumping the table with my foot caused a book to fall.,Beim Anstoßen des Tisches mit meinem Fuß ist ein Buch heruntergefallen.,0.8013569116592407
trog-item-95,The person chases the dog that is big.,"Die Person jagt den Hund, der groß ist.",0.7672886252403259
trog-item-96,The girl wearing a backpack was shown a flower by her friend.,"Dem Mädchen, das einen Rucksack trägt, wurde von seiner Freundin eine Blume gezeigt.",0.8323683142662048
trog-item-97,"The kids cleaned the room, but forgot to put away the train.","Die Kinder haben das Zimmer aufgeräumt, aber haben vergessen, die Eisenbahn wegzustellen.",0.8257774710655212
trog-item-98,The monkey neither ate the banana nor swung on the vine.,Der Affe hat weder die Banane gegessen noch sich an der Liane geschwungen.,0.8195105791091919
trog-item-99,"Her mom said it would be sunny. However, it rained heavily.","Ihre Mutter sagte, es würde sonnig sein. Aber es regnete stark.",0.8645125031471252
trog-item-100,The plane that is gray is above the clouds.,"Das Flugzeug, das grau ist, befindet sich über den Wolken.",0.8618063926696777
trog-item-101,The fish swim beneath a whale and a sea turtle.,Die Fische schwimmen unter einem Wal und einer Meeresschildkröte.,0.8584679365158081
trog-item-102,The car that the truck followed is driving toward the tunnel.,"Das Auto, das dem der Lastwagen gefolgt ist, fährt auf den Tunnel zu.",0.830336332321167
trog-item-103,Instead of doing homework she did a puzzle in her room.,"Anstatt Hausaufgaben zu machen, hat sie in ihrem Zimmer ein Puzzle gemacht.",0.8642631769180298
yes,yes,ja,0.8260524272918701
no,no,nein,0.8610670566558838
happy,happy,glücklich,0.8326576352119446
sad,sad,traurig,0.8161302804946899
angry,angry,wütend,0.8385292291641235
scared,scared,ängstlich,0.7733734846115112
calm,calm,ruhig,0.7694419622421265
proud,proud,stolz,0.8240131139755249
disgusted,disgusted,angeekelt,0.7947736978530884
surprised,surprised,überrascht,0.8201753497123718
ToM-intro,"This is the Stories Game. In this game, you will listen to some stories. Then you will answer questions about the stories.",Das ist das Geschichten-Spiel. In diesem Spiel wirst du Geschichten hören und dann kannst du ein paar Fragen dazu beantworten.,0.8655466437339783
ToM-transition,Nice work! Here is a new story.,Sehr gut! Hier ist eine neue Geschichte.,0.8358167409896851
ToM-scene1-instruct1,"Here is Madison. This morning, Madison put her book behind the chair, because she didn’t want anyone to find it. ","Das ist Laura. Heute Morgen hat Laura ihr Buch hinter den Stuhl gelegt, weil sie nicht wollte, dass es jemand findet. ",0.8614515066146851
ToM-scene1-instruct2,"But when Madison was outside playing, someone did find it! And hid it under the rug. ","Aber als Laura draußen gespielt hat, hat es jemand gefunden und unter dem Teppich versteckt. ",0.7340777516365051
ToM-scene1-instruct3,So now it’s reading time and Madison wants her book.,Jetzt möchte Laura aber gern ihr Buch weiterlesen.,0.6465940475463867
ToM-scene1-q1-false_belief,Where will Madison look first for her book?,Wo wird Laura zuerst nach ihrem Buch suchen? ,0.7582383751869202
chair,Behind the chair,Hinter dem Stuhl,0.7985078692436218
rug,Under the rug,Unter dem Teppich,0.789381742477417
ToM-scene1-q2-reality_check,And where is her book really?,Und wo ist ihr Buch wirklich?,0.8274801969528198
ToM-scene2-instruct1,"This morning when he came to school, Ethan put his book on the shelf above the coat hooks. Ethan’s book is blue! ","Heute Morgen, als er in die Schule kam, hat Justus sein Buch auf die Garderobe über den Mänteln gelegt. Das Buch von Justus ist blau! ",0.7692349553108215
ToM-scene2-instruct2,"And then he went outside to play, see? Here’s Ethan playing outside. And while he was outside playing, Ethan’s book fell down from above the coat hooks onto the floor under the coats, see? ","Und dann ist er nach draußen gegangen, um zu spielen, siehst du? Hier ist Justus beim Spielen draußen. Und während er draußen spielte, fiel das Buch von Justus von der Garderobe auf den Boden unter die Mäntel, siehst du? ",0.7491397857666016
ToM-scene2-instruct3,"Then Hannah comes in and Hannah puts her book up above the coat hooks. Hannah's book is also blue! Ethan is still outside playing, so he didn't see what Hannah was doing.","Dann kommt Hannah herein und legt ihr Buch auf die Garderobe über den Mänteln. Hannahs Buch ist auch blau! Justus ist noch draußen und spielt, deshalb hat er nicht gesehen, was Hannah gemacht hat.",0.7013168334960938
ToM-scene2-q1-false_belief,"Now, when Ethan comes in from outside, where will he look first for his book?","Wenn Justus nun von draußen hereinkommt, wo wird er zuerst nach seinem Buch suchen?",0.7539212107658386
shelf,On the shelf,Oben im Regal,0.7883844375610352
coats,Under the coats,Unter den Mänteln,0.782820999622345
ToM-scene2-instruct4,"Let’s see what he does. Oh look, here is Ethan reaching for this book up on the shelf. And now Hannah sees Ethan reaching for that book... the book that is Hannah's!","Mal sehen, was er macht. Oh, sieh mal, da ist Justus. Er greift nach dem Buch oben im Regal. Und jetzt sieht Hannah, wie Justus nach dem Buch greift... dem Buch, das Hannah gehört!",0.8428987860679626
ToM-scene2-q2-emotion_reasoning,How do you think Hannah feels about Ethan reaching for that book? ,"Was glaubst du, was Hannah davon hält, dass Justus nach dem Buch greift? ",0.7743028998374939
ToM-scene2-q7-emotion_reasoning,How do you think Hannah would feel if she had not seen Ethan reaching for the book?,"Wie würde sich Hannah wohl fühlen, wenn sie nicht gesehen hätte, wie Justus nach dem Buch greift?",0.7735665440559387
ToM-scene2-q3-false_belief,Is Ethan being mean and naughty for taking Hannah's book?,"Ist es gemein und frech von Justus, dass er Hannahs Buch genommen hat?",0.7086329460144043
ToM-scene2-q4-false_belief,Should Ethan get in trouble with the teacher for taking Hannah's book?,"Sollte Justus Ärger mit der Lehrerin bekommen, weil er Hannahs Buch genommen hat?",0.8209322690963745
ToM-scene2-q5-reality_check,Can you help Hannah find her book? Is it on the shelf or under the coats?,"Kannst du Hannah helfen, ihr Buch zu finden? Ist es auf dem Regal oder unter den Mänteln?",0.8680733442306519
ToM-scene2-q6-reality_check,Can you help Ethan find his book? Is it on the shelf or under the coats?,"Kannst du Justus helfen, sein Buch zu finden? Ist es auf dem Regal oder unter den Mänteln?",0.83683180809021
ToM-scene3-instruct1,"Joshua, Isabel, and Ivan are playing a game. Here's how the game goes: One kid hides, but draws a clue in the sandbox so the other kids can find them. ","Johann, Lisa und Max spielen ein Spiel. Das Spiel geht so: Ein Kind versteckt sich, malt aber einen Hinweis in den Sandkasten, damit die anderen Kinder es finden können. ",0.8185100555419922
