answer,assessment_stage,audio_file,block_index,chance_level,corpus_file_name,d,difficulty,image,item,item_id,item_uid,orig_item_num,prompt,randomize,required_selections,response_alternatives,source,task,task_dir,task_id,time_limit,trial_num,trial_type
an2-000,test_response,mental-rotation-prompt1,3,0.5,mental-rotation-item-bank,,4.57381011,,an2-320,an2-320,,83,Choose the matching picture.,,,"ap2-000,an2-000",3D,Mental Rotation,levante-shape-rotation-dev,mental-rotation,5000,,3D
gesticulate,test_response,vocab-item-139,1,0.25,vocab-item-bank,3.6938,,,gesticulate,gesticulate,vocab_word_gesticulate,,,,,"listen,pose,hide",dutch,vocab,levante-vocabulary-dev,vocab,,,test
,instructions,ToM-scene-11-instruct2,11,,theory-of-mind-retest-A,,,,11b,ToM-scene-11-instruct2,,,"Josh’s mom just walked in and Josh asks his mom to get one of the toys. Josh tells his mom, “I want the small ball!”",no,,,Modified ToM-battery,theory-of-mind,levante-stories-dev,theory-of-mind,,,instructions
0.45,test_response,number-line-slider-prompt1,2,0.1,math-item-bank,,0,,"0,1",slider-0.45-1,math_slider_045_1,,Move the slider to the indicated number.,,,,Siegler,math,levante-math-dev,egma-math,5000,,Number Line Slider
,instructions,ToM-scene14-instruct1,14,,theory-of-mind-retest-B,,,,14a,ToM-scene14-instruct1,,,"This afternoon when he came home, Bobby put his soccer ball on the table.",no,,,Modified ToM-battery,theory-of-mind,levante-stories-dev,theory-of-mind,,,instructions
200,test_response,missing-number-prompt2,0,0.25,math-item-bank,,-2,,"_, 300, 400, 500",missing-num-200,math_missing_x_300_400_500,38,What number goes here?,,,"100,150,600",EGMA,math,levante-math-dev,egma-math,5000,,Missing Number
mammalogy,test_response,vocab-item-150,1,0.25,vocab-item-bank,2.5801,,,mammalogy,mammalogy,vocab_word_mammalogy,,,,,"entomology,herpetology,ichthyology",dutch,vocab,levante-vocabulary-dev,vocab,,,test
tf1_11_T1_ss1_md,test_response,matrix-reasoning-prompt1,1,0.25,matrix-reasoning-item-bank,,1.755,,tf1_11_M_ss1,tf1_11_M_ss1,matrix_set1_md_mat11,11,Choose the best pattern to fill in the blank.,,,"tf1_11_T3_ss1_md,tf1_11_T4_ss1_md,tf1_11_T2_ss1_md",MarsIB-CB2-tf1,Matrix Reasoning,levante-pattern-matching-dev,matrix-reasoning,,,Matrix Reasoning
4/21,test_response,subtraction-prompt2,1,0.25,math-item-bank,,0.6,,1/3-1/7,1/3-1/7,math_fraction_13_17_421,,Subtract the numbers.,,,"6/21,1/4,1/7",George,math,levante-math-dev,egma-math,5000,,Fraction
9,test_response,addition-prompt2,1,0.25,math-corpus-retest,,-1.5,,7+2,math_add_7_2,math_add_7_2,,Add the numbers.,,,"7,10,8",Zehra,math,levante-math-dev,egma-math,5000,,Addition
40-girl-drops-cups,test_response,trog-item-40,,0.25,trog-item-bank,-1.991912,,,the girl drops the cups,trog-item-40,trog_pluralmorph_girl_drop_cups,40,Touch the picture that shows...,,,"40-girl-hold-cup,40-girl-drops-cup,40-girl-bounces-balls",Bishop1983,TROG,levante-sentence-understanding-dev,trog,,,singular/plural noun inflection
0,test_response,number-identification-4,0,0.25,math-item-bank,,-2.5,,0,num-ident-0,math_identify_0,3,Choose the number you hear.,,,"1,9,10",EGMA,math,levante-math-dev,egma-math,5000,,Number Identification
tf1_55_T1_ss3_md,test_response,matrix-reasoning-prompt1,1,0.25,,,,,tf1_55_M_ss3,tf1_55_M_ss3,,55,Choose the best pattern to fill in the blank.,,,"tf1_55_T4_ss3_md,tf1_55_T2_ss3_md,tf1_55_T3_ss3_md",MarsIB-CB2-tf1,Matrix Reasoning,levante-pattern-matching-dev,matrix-reasoning,,,Matrix Reasoning
P2n-000-silh,test_response,mental-rotation-prompt1,2,0.5,mental-rotation-item-bank,,5,,P2n-320,P2n-320,,,Choose the matching picture.,,,"P2p-000-silh,P2n-000-silh",2d-polygon2,Mental Rotation,levante-shape-rotation-dev,mental-rotation,5000,,
,instructions,ToM-scene8-instruct1,8,,CO-theory-of-mind-retest-A,,,,8a,ToM-scene8-instruct1,,,"This morning when she came to school, Allie put her yellow pencil on this shelf, above the backpack shelf.",no,,,Modified ToM-battery,theory-of-mind,levante-stories-dev,theory-of-mind,,,instructions
panda,test_response,vocab-item-108,1,0.25,vocab-item-bank,-4.0549,,,panda,panda,vocab_word_panda,,,,,"koala,pig,zebra",manual,vocab,levante-vocabulary-dev,vocab,,,test
tf1_59_T1_ss1_md,test_response,matrix-reasoning-prompt1,1,0.25,,,-0.737,,tf1_59_M_ss1,tf1_59_M_ss1,,59,Choose the best pattern to fill in the blank.,,,"tf1_59_T4_ss1_md,tf1_59_T2_ss1_md,tf1_59_T3_ss1_md",MarsIB-CB2-tf1,Matrix Reasoning,levante-pattern-matching-dev,matrix-reasoning,,,Matrix Reasoning
435,test_response,number-comparison-prompt2,0,0.5,math-corpus-retest,,-2,,"390, 435",math_compare_435_390,math_compare_390_435,,Which is larger?,,,390,Zehra,math,levante-math-dev,egma-math,5000,,Number Comparison
16,test_response,addition-prompt2,1,0.25,math-corpus-retest,,-1.5,,9+7,math_add_9_7,math_add_9_7,,Add the numbers.,,,"18,14,15",Zehra,math,levante-math-dev,egma-math,5000,,Addition
26,test_response,number-identification-25,0,0.25,math-corpus-retest,,-2.5,,26,math_identify_26,math_identify_26,,Choose the 26.,,,"36,46,27",Zehra,math,levante-math-dev,egma-math,5000,,Number Identification
,second_response,sds-2match-prompt2,2,,same-different-selection-item-bank,,-1.4383118,,Touch two pictures that are the same in a different way.,sds-fist4-2-second,sds_3match_choice2,,,,2,"med-blue-triangle-3-gray,med-green-circle-3-striped,med-red-square-2,med-yellow-square-gray",AMESlab,same-different-selection,levante-same-different-dev,same-different-selection,,2,3-match
47,test_response,number-identification-28,0,0.25,math-corpus-retest,,-2.5,,47,math_identify_47,math_identify_47,,Choose the 47.,,,"74,37,17",Zehra,math,levante-math-dev,egma-math,5000,,Number Identification
,third_response,sds-2match-prompt2,2,,same-different-selection-item-bank,,0.758737,,Touch two pictures that are the same in a different way.,sds-fist5-1-third,sds_4match_choice3,,,,2,"med-blue-square,med-green-square-2-black,med-red-triangle-gray,med-green-circle-3-striped,med-yellow-star-4-gray",AMESlab,same-different-selection,levante-same-different-dev,same-different-selection,,1,4-match
redstack,test_response,ToM-scene-17-q1-reference,17,0.33,CO-theory-of-mind-retest-B,,,,17b,ToM-scene-17-q1-reference,tom_reference_reference,,Which stack of books will mom look in?,at_block_level,,"bluestack,yellowstack",Modified ToM-battery,theory-of-mind,levante-stories-dev,theory-of-mind,,,reference_question
tf3_69_T1_ss3_pd,test_response,matrix-reasoning-prompt1,1,0.25,matrix-reasoning-corpus-retest,,,,tf3_69_M_ss3,tf3_69_M_ss3,matrix_set3_pd_mat69,69,Choose the best pattern to fill in the blank.,,,"tf3_69_T3_ss3_md,tf3_69_T4_ss3_md,tf3_69_T2_ss3_md",MarsIB-itemset2-tf3,Matrix Reasoning,levante-pattern-matching-dev,matrix-reasoning,,,Matrix Reasoning
,instructions,ToM-scene1-instruct1,1,,theory-of-mind-item-bank,,,,1a,ToM-scene1-instruct1,,1,"Here is Madison. This morning, Madison put her book behind the chair, because she didn’t want anyone to find it.",no,,,ToM-battery,theory-of-mind,levante-stories-dev,theory-of-mind,,,instructions
tf1_60_T1_ss2_md,test_response,matrix-reasoning-prompt1,1,0.25,matrix-reasoning-item-bank,,0.723,,tf1_60_M_ss2,tf1_60_M_ss2,matrix_set1_md_mat60,60,Choose the best pattern to fill in the blank.,,,"tf1_60_T3_ss2_md,tf1_60_T2_ss2_md,tf1_60_T4_ss2_md",MarsIB-CB2-tf1,Matrix Reasoning,levante-pattern-matching-dev,matrix-reasoning,,,Matrix Reasoning
126,test_response,number-line-prompt1,0,0.25,math-item-bank,,-0.2,,"0,1000",line2num-126-1000,math_line_126_1000,,Choose the number that is marked on the number line.,,,"520,917,722",Siegler,math,levante-math-dev,egma-math,5000,,Number Line 4afc
no,test_response,ToM-scene-16-q3-false_belief,16,0.5,theory-of-mind-retest-B,,,,16e,ToM-scene-16-q3-false_belief,tom_deception_false_belief_1,,Is it fair that Dad is mad at Sophie for losing her shoe?,no,,yes,Modified ToM-battery,theory-of-mind,levante-stories-dev,theory-of-mind,,,false_belief_question
behind,test_response,ToM-scene-8-q7-reality_check,8,0.5,theory-of-mind-retest-A,,,,8g,ToM-scene-8-q7-reality_check,tom_moral_reasoning_reality_check_2,,Can you help Allie find her pencil? Is it on top of the shelf or behind the backpack shelf?,at_block_level,,top,Modified ToM-battery,theory-of-mind,levante-stories-dev,theory-of-mind,,,reality_check_question
48-man-pushes-cow,test_response,trog-item-48,,0.25,trog-item-bank,-3.069308322,,,the cow is pushed by the man,trog-item-48,trog_revpassive_cow_pushed_man,48,Touch the picture that shows...,,,"48-cow-pushes-man,48-sheep-pushes-cow,48-man-pushes-pram",Bishop1983,TROG,levante-sentence-understanding-dev,trog,,,reversible passive
,third_response,sds-2match-prompt2,2,,same-different-selection-item-bank,,0.758737,,Touch two pictures that are the same in a different way.,sds-fist5-10-third,sds_4match_choice3,,,,2,"med-yellow-circle-3,med-blue-triangle-2-gray,med-red-square-striped,med-blue-star-4,med-green-triangle-black",AMESlab,same-different-selection,levante-same-different-dev,same-different-selection,,10,4-match
,first_response,sds-2match-prompt1,2,,same-different-selection-item-bank,,-2.913335,,Touch two pictures that are the same.,sds-fist5-4-first,sds_4match_choice1,,,,2,"med-blue-circle-2-striped,med-yellow-triangle,med-red-square-3,med-red-circle-4-black,med-green-star-gray",AMESlab,same-different-selection,levante-same-different-dev,same-different-selection,,4,4-match
bn5-000,test_response,mental-rotation-prompt1,3,0.5,mental-rotation-item-bank,,4.91109162,,bn5-320,bn5-320,,98,Choose the matching picture.,,,"bn5-000,bp5-000",3D,Mental Rotation,levante-shape-rotation-dev,mental-rotation,5000,,3D
bn8-000,test_response,mental-rotation-prompt1,3,0.5,mental-rotation-item-bank,,5.435066553,,bn8-240,bn8-240,mrot_3d_shape_120,102,Choose the matching picture.,,,"bp8-000,bn8-000",3D,Mental Rotation,levante-shape-rotation-dev,mental-rotation,5000,,3D
676,test_response,number-line-prompt1,0,0.25,math-corpus-retest,,-0.2,,"0,1000",math_line_676_1000,math_line_676_1000,,Choose the number that is marked on the number line.,,,"570,880,790",Zehra,math,levante-math-dev,egma-math,5000,,Number Line 4afc
proud,test_response,ToM-scene-15-q4-emotion_reasoning,15,0.25,theory-of-mind-retest-B,,,,15d,ToM-scene-15-q4-emotion_reasoning,tom_interpretation_emotion_reasoning,,"Look, Alex and Beth found Johnny, and won the game! How do you think Alex and Beth feel about winning the game?",yes,,"disgusted,sad,surprised",Modified ToM-battery,theory-of-mind,levante-stories-dev,theory-of-mind,,,emotion_reasoning_question
Rn-000-silh,test_response,mental-rotation-prompt1,1,0.5,mental-rotation-item-bank,,1.457061028,,Rn-240,Rn-240,mrot_2d_rabbit_120,17,Choose the matching picture.,,,"Rp-000-silh,Rn-000-silh",2d-rabbit,Mental Rotation,levante-shape-rotation-dev,mental-rotation,5000,,2D
sorbet,test_response,vocab-item-064,1,0.25,vocab-item-bank,-0.111,,,sorbet,sorbet,vocab_word_sorbet,,,,,"palette,tamale,chive",clip,vocab,levante-vocabulary-dev,vocab,,,test
1/2,test_response,addition-prompt2,1,0.25,math-item-bank,,0.5,,1/6+1/3,1/6+1/3,math_fraction_16_13_12,,Add the numbers.,,,"2/9,2/3,5/6",George,math,levante-math-dev,egma-math,5000,,Fraction
96-short-girl-wear-backpack,test_response,trog-item-96,,0.25,trog-item-bank,,,,The girl wearing a backpack was shown a flower by her friend.,trog-item-96,trog_revpassrelclause_girl_wearing_backpack_shown_flower,96,Touch the picture that shows...,,,"96-both-girls-hold-backpacks,96-tall-girl-holds-backpack-and-flower,96-tall-girl-holds-flower-wears-backpack",Yeatman,TROG,levante-sentence-understanding-dev,trog,,,reversible passive; relative clause
tf3_12_T1_ss3_md,test_response,matrix-reasoning-prompt1,1,0.25,matrix-reasoning-corpus-retest,,,,tf3_12_M_ss3,tf3_12_M_ss3,matrix_set3_md_mat12,12,Choose the best pattern to fill in the blank.,,,"tf3_12_T3_ss3_md,tf3_12_T2_ss3_md,tf3_12_T4_ss3_md",MarsIB-itemset2-tf3,Matrix Reasoning,levante-pattern-matching-dev,matrix-reasoning,,,Matrix Reasoning
3/10,test_response,subtraction-prompt2,1,0.25,math-item-bank,,0.6,,7/10-2/5,7/10-2/5,math_fraction_710_25_310,,Subtract the numbers.,,,"5/10,1/5,5/5",George,math,levante-math-dev,egma-math,5000,,Fraction
P1p-000-silh,test_response,mental-rotation-prompt1,2,0.5,mental-rotation-item-bank,,3.125,,P1p-040,P1p-040,,,Choose the matching picture.,,,"P1p-000-silh,P1n-000-silh",2d-polygon1,Mental Rotation,levante-shape-rotation-dev,mental-rotation,5000,,
behind-flowerbush,test_response,ToM-scene-15-q3-reality_check,15,0.5,theory-of-mind-retest-B,,,,15c,ToM-scene-15-q3-reality_check,tom_interpretation_reality_check_2,,Can you help them find where Johnny really is?,at_block_level,,behind-rock,Modified ToM-battery,theory-of-mind,levante-stories-dev,theory-of-mind,,,reality_check_question
tf1_76_T1_ss3_md,test_response,matrix-reasoning-prompt1,1,0.25,matrix-reasoning-item-bank,,1.383,,tf1_76_M_ss3,tf1_76_M_ss3,matrix_set1_md_mat76,76,Choose the best pattern to fill in the blank.,,,"tf1_76_T3_ss3_md,tf1_76_T4_ss3_md,tf1_76_T2_ss3_md",MarsIB-CB2-tf1,Matrix Reasoning,levante-pattern-matching-dev,matrix-reasoning,,,Matrix Reasoning
61-pencil-above-flower,test_response,trog-item-61,,0.25,trog-item-bank,-1.385051633,,,the pencil is above the flower,trog-item-61,trog_abovebelow_pencil_above_flower,61,Touch the picture that shows...,,,"61-pencil-beside-flower,61-flower-above-pencil,61-flower-behind-pencil",Bishop1983,TROG,levante-sentence-understanding-dev,trog,,,above and below
18,test_response,multiplication-prompt2,1,0.25,math-item-bank,,0.1,,3x6,3x6,math_multiply_3_6,,Multiply the numbers.,,,"20,14,9",George,math,levante-math-dev,egma-math,5000,,Multiplication
P2p-000-silh,test_response,mental-rotation-prompt1,2,0.5,mental-rotation-item-bank,,4.625,,P2p-200,P2p-200,,,Choose the matching picture.,,,"P2p-000-silh,P2n-000-silh",2d-polygon2,Mental Rotation,levante-shape-rotation-dev,mental-rotation,5000,,
5/14,test_response,subtraction-prompt2,1,0.25,math-corpus-retest,,0.6,,3/7-1/14,math_fraction_37_114,math_fraction_37_114_514,,Subtract the numbers.,,,"2/14,2/7,4/7",Zehra,math,levante-math-dev,egma-math,5000,,Fraction
tf3_74_T1_ss2_md,test_response,matrix-reasoning-prompt1,1,0.25,matrix-reasoning-corpus-retest,,,,tf3_74_M_ss2,tf3_74_M_ss2,matrix_set3_md_mat74,74,Choose the best pattern to fill in the blank.,,,"tf3_74_T3_ss2_md,tf3_74_T4_ss2_md,tf3_74_T2_ss2_md",MarsIB-itemset2-tf3,Matrix Reasoning,levante-pattern-matching-dev,matrix-reasoning,,,Matrix Reasoning
tf1_68_T1_ss1_md,test_response,matrix-reasoning-prompt1,1,0.25,matrix-reasoning-item-bank,,-0.394,,tf1_68_M_ss1,tf1_68_M_ss1,matrix_set1_md_mat68,68,Choose the best pattern to fill in the blank.,,,"tf1_68_T3_ss1_md,tf1_68_T4_ss1_md,tf1_68_T2_ss1_md",MarsIB-CB2-tf1,Matrix Reasoning,levante-pattern-matching-dev,matrix-reasoning,,,Matrix Reasoning
1,practice_response,number-identification-1,3,0.33,math-item-bank,,-1,,1,num-ident-1,,0,Choose the 1.,,,"6,9,7",EGMA,math,levante-math-dev,egma-math,5000,,Number Identification
dentist,test_response,vocab-item-114,1,0.25,vocab-item-bank,-2.8296,,,dentist,dentist,vocab_word_dentist,,,,,"doctor,pharmacist,scientist",manual,vocab,levante-vocabulary-dev,vocab,,,test
Dp-000-silh,test_response,mental-rotation-prompt1,1,0.5,mental-rotation-item-bank,,2.645080401,,Dp-160,Dp-160,mrot_2d_duck_160,32,Choose the matching picture.,,,"Dp-000-silh,Dn-000-silh",2d-duck,Mental Rotation,levante-shape-rotation-dev,mental-rotation,5000,,2D
ball,test_response,vocab-item-088,1,0.25,vocab-item-bank,-4.4474,,,ball,ball,vocab_word_ball,,,,,"pen,peach,snack",clip,vocab,levante-vocabulary-dev,vocab,,,catch
87,test_response,number-line-prompt1,0,0.25,math-corpus-retest,,-0.5,,"0,100",math_line_87_100,math_line_87_100,,Choose the number that is marked on the number line.,,,"60,73,97",Zehra,math,levante-math-dev,egma-math,5000,,Number Line 4afc
tf3_49_T1_ss1_md,test_response,matrix-reasoning-prompt1,1,0.25,matrix-reasoning-corpus-retest,,,,tf3_49_M_ss1,tf3_49_M_ss1,matrix_set3_md_mat49,49,Choose the best pattern to fill in the blank.,,,"tf3_49_T4_ss1_md,tf3_49_T2_ss1_md,tf3_49_T3_ss1_md",MarsIB-itemset2-tf3,Matrix Reasoning,levante-pattern-matching-dev,matrix-reasoning,,,Matrix Reasoning
94-stub-toe-book-falls,test_response,trog-item-94,,0.25,trog-item-bank,-2.609019671,,,Bumping the table with my foot caused a book to fall.,trog-item-94,trog_gerund_bump_table_case_book_fall,94,Touch the picture that shows...,,,"94-stub-toe,94-book-falls,94-trip-rock",Yeatman,TROG,levante-sentence-understanding-dev,trog,,,gerund phrase
,first_response,sds-2match-prompt1,2,,same-different-selection-item-bank,,-3.4771184,,Touch two pictures that are the same.,sds-fist4-9-first,sds_3match_choice1,,,,2,"med-red-circle-4-gray,med-green-star,med-blue-star-4-striped,med-yellow-triangle-2-gray",AMESlab,same-different-selection,levante-same-different-dev,same-different-selection,,9,3-match
