identifier,labels,text,es-CO,de,fr-CA,nl,de-CH,es-AR,en-GH,pt-PT
general-encourage,general,Keep Going!,¡Continúa!,Weiter so!,,,,,,Continue!
feedbackCorrect,general,Great! That's right.,¡Genial! Eso es correcto.,Großartig! Das ist richtig.,,,,,,Ótimo! Isso mesmo.
feedback-not-quite-right,general,That's not quite right. Please try again.,Eso no está del todo bien. ¡Inténtalo de nuevo!,Das stimmt nicht ganz. Versuch es noch einmal!,,,,,,"Isso não está correto. Por favor, tente novamente."
feedback-try-again,general,Please try again!,¡Inténtalo de nuevo!,Versuch es noch einmal!,,,,,,"Por favor, tente novamente!"
feedback-good-job,general,Good job!,¡Bien hecho!,Gut gemacht!,,,,,,Bom trabalho!
feedback-nice-work,general,Nice work!,¡Muy bien!,Sehr gut!,,,,,,Bom trabalho!
replay-button,general,Press the speaker button if you want the question repeated.,Presiona el botón del altavoz si deseas que se repita la pregunta.,"Klick auf die Wiederholungstaste, wenn du die Frage nochmal hören willst.",,,,,,Pressione o botão do alto-falante se quiser que a pergunta seja repetida.
general-fullscreen,general,Switch to full screen mode,Cambiar al modo de pantalla completa,Bitte wechsle in den Vollbildmodus.,,,,,,Mudar para o modo de tela cheia
general-repeat-instructions,general,Looks like this is a little tricky! Let’s review the instructions.,¡Parece que esto es un poco complicado! Repasemos las instrucciones.,"Das ist ganz schön knifflig! Wir schauen uns nochmal genau an, wie das Spiel geht!",,,,,,Parece que isso é um pouco complicado! Vamos rever as instruções.
general-keyboard-instructions,general,"If you want to use your keyboard to answer a question, press the arrow key shown next to your choice.","Si quieres usar el teclado para responder una pregunta, haz click en la flecha que ves al lado de la opción que quieres seleccionar.","Wenn du zum beantworten einer Frage deine Tastatur nutzen möchtest, dann drück einfach die Pfeiltaste auf der Seite, die du wählen möchtest.",,,,,,"Se você quiser usar o teclado para responder a uma pergunta, pressione a tecla de seta mostrada ao lado da sua escolha."
intro-finished,general,You've finished the instructions. Thank you!,Has terminado las instrucciones. ¡Gracias!,Das war die Spielanleitung. Vielen Dank!,,,,,,Você terminou as instruções. Obrigado!
general-exit,general,Exit,Salir,Spiel verlassen.,,,,,,Sair
task-completion,general,You've completed this game. Thank you!,Has completado el juego. ¡Gracias!,Dieses Spiel ist jetzt zu Ende! Danke fürs Mitmachen!,,,,,,Você completou este jogo. Obrigado!
general-your-turn,general,Nice job with the practice! Let's try some more on your own.,¡Buen trabajo en la práctica! Ahora intenta hacer unos ensayos por tu cuenta.,Das Üben hat schonmal super geklappt! Jetzt kannst du es nochmal alleine versuchen. ,,,,,,Bom trabalho com a prática! Vamos tentar um pouco mais sozinho.
matrix-reasoning-instruct1,"matrix-reasoning, Pattern Matching","We’re going to show you a puzzle, and your job is to pick the best piece to complete the puzzle. Let's get started!",Vamos a mostrarte un rompecabezas. Tu tarea es elegir la mejor pieza para completarlo. ¡Empecemos!,"Wir zeigen dir ein Puzzle, und deine Aufgabe ist es, das beste Teil zu finden, um das Puzzle zu vervollständigen. Los geht's!",,,,,,Vamos mostrar um quebra-cabeça e seu trabalho é escolher a melhor peça para completá-lo. Vamos começar!
matrix-reasoning-instruct2,"matrix-reasoning, Pattern Matching",See this big puzzle? It's missing a piece! Which piece goes in the puzzle?,¿Ves este gran rompecabezas? Le falta una pieza. ¿Cuál pieza va en el rompecabezas?,Siehst du dieses große Puzzle? Es fehlt ein Teil! Welches Teil gehört in das Puzzle?,,,,,,Vê este grande quebra-cabeça? Está faltando uma peça! Qual peça vai no quebra-cabeça?
matrix-reasoning-prompt1,"matrix-reasoning, Pattern Matching",Choose the best pattern to fill in the blank.,Escoge el mejor patrón para llenar el espacio en blanco.,"Wähle das beste Muster, um die Lücke zu füllen.",,,,,,Escolha o melhor padrão para preencher o espaço em branco.
mental-rotation-instruct1,"mental-rotation, Shape Rotation",Do you see these two outlines? One goes with this shape. Let’s see which one goes with the shape.,¿Ves estas dos siluetas? Una va con esta figura. Veamos cuál va con la figura.,"Siehst du diese beiden Schatten? Einer passt zu der Form. Lass uns schauen, welcher zur Form passt.",,,,,,Você vê esses dois contornos? Um vai com essa forma. Vamos ver qual vai com a forma.
mental-rotation-training-instruct2,"mental-rotation, Shape Rotation",Let's see if this shape goes with the outline. This shape doesn’t go with the outline.,Veamos si esta figura va con la silueta. Esta figura no va con la silueta.,"Mal sehen, ob diese Form zu dem Schatten passt. Diese Form passt nicht zum Schatten.",,,,,,Vamos ver se essa forma vai com o contorno. Essa forma não vai com o contorno.
mental-rotation-training-instruct3,"mental-rotation, Shape Rotation",Let's see if this shape goes with the outline. This shape does go with the outline.,Veamos si esta figura va con la silueta. Esta figura sí va con la silueta.,"Mal sehen, ob diese Form zu dem Schatten passt. Diese Form passt zu dem Schatten.",,,,,,Vamos ver se essa forma vai com o contorno. Essa forma vai com o contorno.
mental-rotation-test-instruct4,"mental-rotation, Shape Rotation",Now you try! Can you find the shape that goes with the outline?,"¡Ahora, inténtalo tú! ¿Puedes encontrar la figura que va con la silueta?","Jetzt bist du dran! Kannst du die Form finden, die zum Schatten passt?",,,,,,Agora é sua vez! Você pode encontrar a forma que vai com o contorno?
mental-rotation-instruct-3D,"mental-rotation, Shape Rotation",Now you will see pictures that show blocks with three sides. Your task is to choose the matching picture.,Ahora verás unas imágenes de bloques que tienen tres lados. Tu tarea es elegir la imagen que coincide.,"Jetzt siehst du Bilder, die Blöcke mit drei Seiten zeigen.  Deine Aufgabe ist es, das passende Bild auszuwählen.",,,,,,Agora você verá imagens que mostram blocos com três lados. Sua tarefa é escolher a imagem correspondente.
mental-rotation-prompt2,"mental-rotation, Shape Rotation",Choose the picture that matches this one.,Escoge la imagen que coincida con esta.,"Wähle das Bild aus, das hierzu passt.",,,,,,Escolha a imagem que corresponde a esta.
mental-rotation-prompt1,"mental-rotation, Shape Rotation",Choose the matching picture.,Escoge la imagen que coincide.,Wähle das passende Bild aus.,,,,,,Escolha a imagem correspondente.
math-instructions1,math,"In this game, you will do some math problems. Some will be like the ones you do in school and some will be a little different than what you do in school. 

Some questions might be easy for you and some might be hard. That is okay! Please try your best and take your time. Most of the questions will have four choices. You choose the one you think is right. Let’s get started!","En este juego, harás algunos problemas de matemáticas. Algunos serán como los que haces en la escuela y otros serán un poco diferentes de los que haces en la escuela. 

Algunas preguntas te resultarán fáciles y otras difíciles. ¡No pasa nada! Esfuérzate al máximo y tómate tu tiempo. La mayoría de las preguntas tienen cuatro opciones. Elige la que consideres correcta. ¡Empecemos!","In diesem Spiel wirst du einige mathematische Aufgaben lösen. Einige sind wie die, die du in der Schule machst, und einige sind etwas anders als die, die du in der Schule machst. 

Einige Fragen könnten leicht für dich sein und einige könnten schwer sein. Das ist nicht schlimm! Bitte gib dein Bestes und nimm dir Zeit. Bei den meisten Fragen gibt es vier Auswahlmöglichkeiten. Du wählst die aus, die du für richtig hältst. Los geht's!",,,,,,"Neste jogo, você fará alguns problemas de matemática. Alguns serão como os que você faz na escola e alguns serão um pouco diferentes do que você faz na escola. 

Algumas perguntas podem ser fáceis para você e algumas podem ser difíceis. Está tudo bem! Por favor, faça o seu melhor e vá com calma. A maioria das perguntas terá quatro opções. Escolha a que você acha que está correta. Vamos começar!"
math-intro1,math,Here is the first section. Let's start with some practice!,Esta es la primera sección. ¡Empecemos a practicar!,Hier kommt der erste Teil. Am Anfang üben wir erstmal nur.,,,,,,Aqui está a primeira seção. Vamos começar com um pouco de prática!
math-intro2,math,Here is another section. The first few are for practice.,Esta es otra sección. Las primeras son para practicar.,Jetzt kommt der nächste Teil. Die ersten paar sind wieder zum Üben.,,,,,,Aqui está outra seção. As primeiras são para prática.
math-intro-fractions,math,In this section sometimes you will add and sometimes you will subtract. Be sure to look carefully for the plus or minus sign. The first few are for practice.,En esta sección a veces tienes que sumar y a veces tienes que restar. Fíjate bien en el signo de suma o resta. Los primeros son para practicar.,"In diesem Teil musst du manchmal addieren und manchmal subtrahieren. Schau also genau, ob da ein Plus oder ein Minus steht. Die ersten paar sind wieder zum Üben.",,,,,,"Nesta seção, às vezes você vai somar e às vezes vai subtrair. Certifique-se de olhar cuidadosamente os sinais de mais ou menos. As primeiras são para prática."
number-comparison-prompt1,math,Which number is larger?,¿Cuál número es mayor?,Welche Zahl ist größer?,,,,,,Qual número é maior?
number-comparison-prompt2,math,Which is larger?,¿Cuál es mayor?,Welche ist größer?,,,,,,Qual é maior?
number-identification-prompt1,math,Choose the number you hear.,Escoge el número cuando lo escuches.,"Wähle die Zahl, die du hörst.",,,,,,Escolha o número que você ouvir.
missing-number-prompt1,math,What number goes in the blank?,¿Cuál número va en el espacio en blanco?,Welche Zahl gehört in die Lücke?,,,,,,Qual número vai no espaço em branco?
missing-number-prompt2,math,What number goes here?,¿Cuál número va aquí?,Welche Zahl gehört hierher?,,,,,,Qual número vai aqui?
missing-number-prompt3,math,What numbers go in the blanks?,¿Cuál números van en los espacios en blanco?,Welche Zahlen gehören in die Lücken?,,,,,,Quais números vão nos espaços em branco?
addition-prompt1,math,Add the numbers and choose the correct answer.,Suma los números y escoge la respuesta correcta.,Addiere die Zahlen und wähle die richtige Antwort.,,,,,,Adicione os números e escolha a resposta correta.
addition-prompt2,math,Add the numbers.,Suma los números.,Addiere die Zahlen. ,,,,,,Adicione os números.
subtraction-prompt1,math,Subtract the numbers and choose the correct answer.,Resta los números y escoge la respuesta correcta.,Ziehe die Zahlen ab und wähle die richtige Antwort.,,,,,,Subtraia os números e escolha a resposta correta.
subtraction-prompt2,math,Subtract the numbers.,Resta los números.,Ziehe die Zahlen ab. ,,,,,,Subtraia os números.
multiplication-prompt1,math,Multiply the numbers and choose the correct answer.,Multiplica los números y escoge la respuesta correcta.,Multipliziere die Zahlen und wähle die richtige Antwort.,,,,,,Multiplique os números e escolha a resposta correta.
multiplication-prompt2,math,Multiply the numbers.,Multiplica los números.,Multipliziere die Zahlen. ,,,,,,Multiplique os números.
number-line-instruct1,math,Here is a number line. You can move the slider forward and backward along the line. Move the slider so it is in the right place to show where the number belongs. Make sure you look at the numbers at each end when deciding where to move the slider.,Aquí tienes una recta numérica. Sobre ella hay un marcador que tu puedes mover hacia la derecha o izquierda. Tu debes ubicar este marcador en el lugar de la recta donde estaría ubicado el número que te indicará cada ejercicio. Asegúrate de revisar bien cuáles son los números de los extremos de la recta antes de decidir dónde ubicar el marcador. ,"Hier ist eine Zahlenreihe. Du kannst den Schieber vorwärts und rückwärts entlang der Linie bewegen. Ändere den Schieber so, dass er sich an der richtigen Stelle befindet, um zu zeigen, wo die Zahl hingehört. Achte darauf, dass du die Zahlen an beiden Enden ansiehst, wenn du entscheidest, wohin du den Schieber platzierst. ",,,,,,Aqui está uma linha numérica. Você pode mover o cursor para frente e para trás ao longo da linha. Mova o cursor para que ele esteja no lugar certo para mostrar onde o número pertence. Certifique-se de olhar os números em cada extremidade ao decidir onde mover o cursor.
number-line-prompt1,math,Choose the number that is marked on the number line.,Escoge el número que está marcado en la recta numérica.,"Wähle die Zahl, die auf der Zahlenreihe markiert ist.",,,,,,Escolha o número que está marcado na linha numérica.
number-line-slider-prompt1,math,Move the slider to mark the number.,Ubica el marcador sobre la recta numérica para marcar el lugar del número.,Bewege den Schieber auf die angegebene Zahl.,,,,,,Mova o cursor para marcar o número.
number-identification-1,math,Choose the number 1.,Escoge el número 1.,Wähle die Zahl Eins.,,,,,,Escolha o número 1.
number-identification-2,math,Choose the 2.,Escoge el 2.,Wähle die Zwei.,,,,,,Escolha o 2.
number-identification-3,math,Choose the 9.,Escoge el 9.,Wähle die Neun.,,,,,,Escolha o 9.
number-identification-4,math,Choose the 0.,Escoge el 0.,Wähle die Null.,,,,,,Escolha o 0.
number-identification-5,math,Choose the 12.,Escoge el 12.,Wähle die Zwölf.,,,,,,Escolha o 12.
number-identification-6,math,Choose the 30.,Escoge el 30.,Wähle die Dreißig.,,,,,,Escolha o 30.
number-identification-7,math,Choose the 22.,Escoge el 22.,Wähle die  Zweiundzwanzig.,,,,,,Escolha o 22.
number-identification-8,math,Choose the 45.,Escoge el 45.,Wähle die  Fünfundvierzig.,,,,,,Escolha o 45.
number-identification-9,math,Choose the 39.,Escoge el 39.,Wähle die  Neununddreißig.,,,,,,Escolha o 39.
number-identification-10,math,Choose the 23.,Escoge el 23.,Wähle die  Dreiundzwanzig.,,,,,,Escolha o 23.
number-identification-11,math,Choose the 48.,Escoge el 48.,Wähle die  Achtundvierzig.,,,,,,Escolha o 48.
number-identification-12,math,Choose the 91.,Escoge el 91.,Wähle die  91.,,,,,,Escolha o 91.
number-identification-13,math,Choose the 33.,Escoge el 33.,Wähle die  Dreiunddreißig.,,,,,,Escolha o 33.
number-identification-14,math,Choose the 74.,Escoge el 74.,Wähle die  Vierundsiebzig.,,,,,,Escolha o 74.
number-identification-15,math,Choose the 87.,Escoge el 87.,Wähle die  Siebenundachzig.,,,,,,Escolha o 87.
number-identification-16,math,Choose the 65.,Escoge el 65.,Wähle die  65.,,,,,,Escolha o 65.
number-identification-17,math,Choose the 108.,Escoge el 108.,Wähle die  Einhundertacht.,,,,,,Escolha o 108.
number-identification-18,math,Choose the 245.,"Escoge el,, doscientos, cuarenta y cinco.",Wähle die  Zweihundertfünfundvierzig.,,,,,,Escolha o 245.
number-identification-19,math,Choose the 587.,Escoge el quinientos ochenta y siete.,Wähle die  Fünfhundertsiebenundachzig.,,,,,,Escolha o 587.
number-identification-20,math,Choose the 731.,"Escoge, el,, setecientos, treinta y uno.",Wähle die  Siebenhunderteinunddreißig.,,,,,,Escolha o 731.
number-identification-21,math,Choose the 989.," Escoge,, el,, novecientos ochenta y nueve",Wähle die  Neunhundertneunundachzig.,,,,,,Escolha o 989.
number-identification-22,math,Choose the 6.,Escoge el 6.,Wähle die sechs.,,,,,,Escolha o 6.
number-identification-23,math,Choose the 14.,Escoge el 14.,Wähle die vierzehn.,,,,,,Escolha o 14.
number-identification-24,math,Choose the 18.,Escoge el 18.,Wähle die achtzehn.,,,,,,Escolha o 18.
number-identification-25,math,Choose the 26.,Escoge el 26.,Wähle die sechsundzwanzig.,,,,,,Escolha o 26.
number-identification-26,math,Choose the 35.,Escoge el 35.,Wähle die fünfunddreißig.,,,,,,Escolha o 35.
number-identification-27,math,Choose the 41.,Escoge el 41.,Wähle die einundvierzig.,,,,,,Escolha o 41.
number-identification-28,math,Choose the 47.,Escoge el 47.,Wähle die siebenundvierzig.,,,,,,Escolha o 47.
number-identification-29,math,Choose the 50.,Escoge el 50.,Wähle die fünfzig.,,,,,,Escolha o 50.
number-identification-30,math,Choose the 55.,Escoge el 55.,Wähle die fünfundfünfzig.,,,,,,Escolha o 55.
number-identification-31,math,Choose the 66.,"Escoge, el, 66.",Wähle die sechsundsechzig.,,,,,,Escolha o 66.
number-identification-32,math,Choose the 67.,Escoge el 67.,Wähle die siebenundsechzig.,,,,,,Escolha o 67.
number-identification-33,math,Choose the 88.,Escoge el 88.,Wähle die achtundachtzig.,,,,,,Escolha o 88.
number-identification-34,math,Choose the 101.,Escoge el 101.,Wähle die einhunderteins.,,,,,,Escolha o 101.
number-identification-35,math,Choose the 426.,Escoge el 426.,Wähle die vierhundertsechsundzwanzig.,,,,,,Escolha o 426.
number-identification-36,math,Choose the 131.," Escoge,, el ciento, treinta y uno
",Wähle die einhunderteinunddreißig.,,,,,,Escolha o 131.
number-identification-37,math,Choose the 256.,Escoge el 256.,Wähle die zweihundertsechsundfünfzig.,,,,,,Escolha o 256.
number-identification-38,math,Choose the 349.,Escoge el 349.,Wähle die dreihundertneunundvierzig.,,,,,,Escolha o 349.
number-identification-39,math,Choose the 543.,Escoge el 543.,Wähle die fünfhundertdreiundvierzig.,,,,,,Escolha o 543.
number-identification-40,math,Choose the 617.,Escoge el 617.,Wähle die sechshundertsiebzehn.,,,,,,Escolha o 617.
number-identification-41,math,Choose the 877.,Escoge el 877. ,Wähle die achthundertsiebenundsiebzig.,,,,,,Escolha o 877.
trog-instruct1,"trog, Sentence Understanding","Now we're going to play a matching game! I'm going to say some words, and you choose the picture that goes with what I say. Let's get started!","Ahora, ¡vamos a hacer un juego de asociación! Yo diré palabras y tú eliges la imagen que va con las palabras que yo diga. ¡Empecemos!","Jetzt werden wir ein Zuordnungsspiel spielen! Ich werde ein paar Wörter sagen, und du wählst das Bild aus, das zu dem passt, was ich sage. Los geht's!",,,,,,Agora vamos jogar um jogo de associação! Vou dizer algumas palavras e você escolhe a imagem que corresponde ao que eu digo. Vamos começar!
trog-prompt1,"trog, Sentence Understanding",Choose the picture of the...,Escoge el dibujo del...,Berühre das Bild mit dem/der/den...,,,,,,Escolha a imagem do...
trog-prompt2,"trog, Sentence Understanding",Choose the picture of...,Escoge el dibujo de...,Berühre das Bild mit...,,,,,,Escolha a imagem de...
trog-prompt3,"trog, Sentence Understanding",Choose the picture that shows...,Escoge el dibujo que muestra...,Berühre das Bild was folgendes zeigt:,,,,,,Escolha a imagem que mostra...
trog-item-1,"trog, Sentence Understanding",Choose the picture of the shoe.,Escoge el dibujo del zapato.,Wähle das Bild mit dem Schuh.,,,,,,Escolha a imagem do sapato.
trog-item-2,"trog, Sentence Understanding",Choose the picture of the bird.,Escoge el dibujo del pájaro.,Wähle das Bild mit dem Vogel.,,,,,,Escolha a imagem do pássaro.
trog-item-3,"trog, Sentence Understanding",Choose the picture of the comb.,Escoge el dibujo del peine.,Wähle das Bild mit dem Kamm.,,,,,,Escolha a imagem do pente.
trog-item-4,"trog, Sentence Understanding",Choose the picture of the apple.,Escoge el dibujo de la manzana.,Wähle das Bild mit dem Apfel.,,,,,,Escolha a imagem da maçã.
trog-item-5,"trog, Sentence Understanding",Choose the picture that shows eating.,Escoge el dibujo que muestra comiendo.,"Wähle das Bild aus, das jemanden beim essen zeigt.",,,,,,Escolha a imagem que mostra alguém comendo.
trog-item-6,"trog, Sentence Understanding",Choose the picture that shows picking.,Escoge el dibujo que muestra recogiendo.,"Wähle das Bild aus, das zeigt, wie jemand etwas pflückt.",,,,,,Escolha a imagem que mostra alguém colhendo.
trog-item-7,"trog, Sentence Understanding",Choose the picture that shows sitting.,Escoge el dibujo que muestra sentado.,"Wähle das Bild aus, das zeigt, wie jemand sitzt.",,,,,,Escolha a imagem que mostra alguém sentado.
trog-item-8,"trog, Sentence Understanding",Choose the picture that shows running.,Escoge el dibujo que muestra corriendo.,"Wähle das Bild aus, das zeigt, wie jemand rennt.",,,,,,Escolha a imagem que mostra alguém correndo.
trog-item-9,"trog, Sentence Understanding",Choose the picture that shows long.,Escoge el dibujo que muestra largo.,"Wähle das Bild aus, das etwas Langes zeigt.",,,,,,Escolha a imagem que mostra algo longo.
trog-item-10,"trog, Sentence Understanding",Choose the picture that shows tall.,Escoge el dibujo que muestra alto.,"Wähle das Bild aus, das etwas Großes zeigt.",,,,,,Escolha a imagem que mostra algo alto.
trog-item-11,"trog, Sentence Understanding",Choose the picture that shows red.,Escoge el dibujo que muestra el rojo.,"Wähle das Bild aus, das etwas Rotes zeigt.",,,,,,Escolha a imagem que mostra vermelho.
trog-item-12,"trog, Sentence Understanding",Choose the picture that shows black.,Escoge el dibujo que muestra el negro.,"Wähle das Bild aus, das etwas Schwarzes zeigt.",,,,,,Escolha a imagem que mostra preto.
trog-item-13,"trog, Sentence Understanding",the boy is running,el niño está corriendo,der Junge rennt.,,,,,,o menino está correndo
trog-item-14,"trog, Sentence Understanding",the big cup,la taza grande,die große Tasse.,,,,,,a xícara grande
trog-item-15,"trog, Sentence Understanding",the dog is sitting,el perro está sentado,der Hund sitzt.,,,,,,o cachorro está sentado
trog-item-16,"trog, Sentence Understanding",the red ball,la pelota roja,der rote Ball.,,,,,,a bola vermelha
trog-item-17,"trog, Sentence Understanding",the boy is not running,el niño no está corriendo,der Junge rennt nicht.,,,,,,o menino não está correndo
trog-item-18,"trog, Sentence Understanding",the dog is not drinking,el perro no está bebiendo,der Hund trinkt nicht.,,,,,,o cachorro não está bebendo
trog-item-19,"trog, Sentence Understanding",the girl is not jumping,la niña no está saltando,das Mädchen hüpft nicht.,,,,,,a menina não está pulando
trog-item-20,"trog, Sentence Understanding",the dog is not sitting,el perro no está sentado,der Hund sitzt nicht.,,,,,,o cachorro não está sentado
trog-item-21,"trog, Sentence Understanding",the boy is jumping over the box,el niño salta por encima de la caja,der Junge springt über den Kasten. ,,,,,,o menino está pulando sobre a caixa
trog-item-22,"trog, Sentence Understanding",the girl is sitting on the table,la niña está sentada encima de la mesa,das Mädchen sitzt auf dem Tisch.,,,,,,a menina está sentada na mesa
trog-item-23,"trog, Sentence Understanding",the man is eating the apple,el hombre se está comiendo una manzana,Der Mann isst einen Apfel.,,,,,,o homem está comendo a maçã
trog-item-24,"trog, Sentence Understanding",the lady is carrying the bag,la señora carga la bolsa,die Frau trägt eine Tasche.,,,,,,a senhora está carregando a bolsa
trog-item-25,"trog, Sentence Understanding",they are sitting on the table,están sentadas encima de la mesa,sie sitzen auf dem Tisch.,,,,,,eles estão sentados na mesa
trog-item-26,"trog, Sentence Understanding",the cow is looking at them,la vaca está mirándolas,Die Kuh sieht die Frauen an.,,,,,,a vaca está olhando para eles
trog-item-27,"trog, Sentence Understanding",they are jumping over the wall,están saltando por encima de la pared,sie springen über die Mauer.,,,,,,eles estão pulando sobre a parede
trog-item-28,"trog, Sentence Understanding",the elephant is carrying them,el elefante los lleva,der Elefant trägt sie,,,,,,o elefante está carregando eles
trog-item-29,"trog, Sentence Understanding",the girl is pushing the horse,la niña está empujando al caballo,das Mädchen schiebt das Pferd,,,,,,a menina está empurrando o cavalo
trog-item-30,"trog, Sentence Understanding",the boy is chasing the sheep,el niño persigue a la oveja,der Junge jagt das Schaf,,,,,,o menino está perseguindo a ovelha
trog-item-31,"trog, Sentence Understanding",the man is chasing the dog,el hombre persigue al perro,der Mann jagt den Hund,,,,,,o homem está perseguindo o cachorro
trog-item-32,"trog, Sentence Understanding",the cow is pushing the lady,la vaca está empujando a la señora,die Kuh schiebt die Dame,,,,,,a vaca está empurrando a senhora
trog-item-33,"trog, Sentence Understanding",she is sitting on the chair,ella está sentada en la silla,sie sitzt auf dem Stuhl.,,,,,,ela está sentada na cadeira
trog-item-34,"trog, Sentence Understanding",the lady is carrying him,la señora lo está cargando,die Dame trägt ihn,,,,,,a senhora está carregando ele
trog-item-35,"trog, Sentence Understanding",he is sitting in the tree,él está sentado en el árbol,er sitzt auf dem Baum,,,,,,ele está sentado na árvore
trog-item-36,"trog, Sentence Understanding",the horse is looking at her,el caballo la está mirando,das Pferd sieht sie an,,,,,,o cavalo está olhando para ela
trog-item-37,"trog, Sentence Understanding",the cats look at the ball,los gatos miran la pelota,die Katzen schauen auf den Ball,,,,,,os gatos olham para a bola
