identifier,labels,text,es-CO,de,fr-CA,nl,de-CH,es-AR,en-GH,isHidden
mental-rotation-training-instruct2,"mental-rotation, Shape Rotation",Let's see if this shape goes with the outline. This shape doesn’t go with the outline.,Veamos si esta figura va con la silueta. Esta figura no va con la silueta.,"Mal sehen, ob diese Form zu dem Schatten passt. Diese Form passt nicht zum Schatten.",Let's see if this shape goes with the outline. This shape doesn’t go with the outline.,Let's see if this shape goes with the outline. This shape doesn’t go with the outline.,"Mal sehen, ob diese Form zu dem Schatten passt. Diese Form passt nicht zum Schatten.",Let's see if this shape goes with the outline. This shape doesn’t go with the outline.,Let's see if this shape goes with the outline. This shape doesn’t go with the outline.,
mental-rotation-training-instruct3,"mental-rotation, Shape Rotation",Let's see if this shape goes with the outline. This shape does go with the outline.,Veamos si esta figura va con la silueta. Esta figura sí va con la silueta.,"Mal sehen, ob diese Form zu dem Schatten passt. Diese Form passt zu dem Schatten.",Let's see if this shape goes with the outline. This shape does go with the outline.,Let's see if this shape goes with the outline. This shape does go with the outline.,"Mal sehen, ob diese Form zu dem Schatten passt. Diese Form passt zu dem Schatten.",Let's see if this shape goes with the outline. This shape does go with the outline.,Let's see if this shape goes with the outline. This shape does go with the outline.,
mental-rotation-test-instruct4,"mental-rotation, Shape Rotation",Now you try! Can you find the shape that goes with the outline?,"¡Ahora, inténtalo tú! ¿Puedes encontrar la figura que va con la silueta?","Jetzt bist du dran! Kannst du die Form finden, die zum Schatten passt?",Now you try! Can you find the shape that goes with the outline?,Now you try! Can you find the shape that goes with the outline?,"Jetzt bist du dran! Kannst du die Form finden, die zum Schatten passt?",Now you try! Can you find the shape that goes with the outline?,Now you try! Can you find the shape that goes with the outline?,
mental-rotation-instruct-3D,"mental-rotation, Shape Rotation",Now you will see pictures that show blocks with three sides. Your task is to choose the matching picture.,Ahora verás unas imágenes de bloques que tienen tres lados. Tu tarea es elegir la imagen que coincide.,"Jetzt siehst du Bilder, die Blöcke mit drei Seiten zeigen.  Deine Aufgabe ist es, das passende Bild auszuwählen.",Now you will see pictures that show blocks with three sides. Your task is to choose the matching picture.,Now you will see pictures that show blocks with three sides. Your task is to choose the matching picture.,"Jetzt siehst du Bilder, die Blöcke mit drei Seiten zeigen.  Deine Aufgabe ist es, das passende Bild auszuwählen.",Now you will see pictures that show blocks with three sides. Your task is to choose the matching picture.,Now you will see pictures that show blocks with three sides. Your task is to choose the matching picture.,
mental-rotation-prompt2,"mental-rotation, Shape Rotation",Choose the picture that matches this one.,Escoge la imagen que coincida con esta.,"Wähle das Bild aus, das hierzu passt.",Choose the picture that matches this one.,Choose the picture that matches this one.,"Wähle das Bild aus, das hierzu passt.",Choose the picture that matches this one.,Choose the picture that matches this one.,
mental-rotation-prompt1,"mental-rotation, Shape Rotation",Choose the matching picture.,Escoge la imagen que coincide.,Wähle das passende Bild aus.,Choose the matching picture.,Choose the matching picture.,Wähle das passende Bild aus.,Choose the matching picture.,Choose the matching picture.,
math-instructions1,math,"In this game, you will do some math problems. Some will be like the ones you do in school and some will be a little different than what you do in school. 

Some questions might be easy for you and some might be hard. That is okay! Please try your best and take your time. Most of the questions will have four choices. You choose the one you think is right. Let’s get started!","En este juego, harás algunos problemas de matemáticas. Algunos serán como los que haces en la escuela y otros serán un poco diferentes de los que haces en la escuela. 

Algunas preguntas te resultarán fáciles y otras difíciles. ¡No pasa nada! Esfuérzate al máximo y tómate tu tiempo. La mayoría de las preguntas tienen cuatro opciones. Elige la que consideres correcta. ¡Empecemos!","In diesem Spiel wirst du einige mathematische Aufgaben lösen. Einige sind wie die, die du in der Schule machst, und einige sind etwas anders als die, die du in der Schule machst. 

Einige Fragen könnten leicht für dich sein und einige könnten schwer sein. Das ist nicht schlimm! Bitte gib dein Bestes und nimm dir Zeit. Bei den meisten Fragen gibt es vier Auswahlmöglichkeiten. Du wählst die aus, die du für richtig hältst. Los geht's!","In this game, you will do some math problems. Some will be like the ones you do in school and some will be a little different than what you do in school. 

Some questions might be easy for you and some might be hard. That is okay! Please try your best and take your time. Most of the questions will have four choices. You choose the one you think is right. Let’s get started!","In this game, you will do some math problems. Some will be like the ones you do in school and some will be a little different than what you do in school. 

Some questions might be easy for you and some might be hard. That is okay! Please try your best and take your time. Most of the questions will have four choices. You choose the one you think is right. Let’s get started!","In diesem Spiel wirst du einige mathematische Aufgaben lösen. Einige sind wie die, die du in der Schule machst, und einige sind etwas anders als die, die du in der Schule machst. 

Einige Fragen könnten leicht für dich sein und einige könnten schwer sein. Das ist nicht schlimm! Bitte gib dein Bestes und nimm dir Zeit. Bei den meisten Fragen gibt es vier Auswahlmöglichkeiten. Du wählst die aus, die du für richtig hältst. Los geht's!","In this game, you will do some math problems. Some will be like the ones you do in school and some will be a little different than what you do in school. 

Some questions might be easy for you and some might be hard. That is okay! Please try your best and take your time. Most of the questions will have four choices. You choose the one you think is right. Let’s get started!","In this game, you will do some math problems. Some will be like the ones you do in school and some will be a little different than what you do in school. 

Some questions might be easy for you and some might be hard. That is okay! Please try your best and take your time. Most of the questions will have four choices. You choose the one you think is right. Let’s get started!",
math-intro1,math,Here is the first section. Let's start with some practice!,Esta es la primera sección. ¡Empecemos a practicar!,Hier kommt der erste Teil. Am Anfang üben wir erstmal nur.,Here is the first section. Let's start with some practice!,Here is the first section. Let's start with some practice!,Hier kommt der erste Teil. Am Anfang üben wir erstmal nur.,Here is the first section. Let's start with some practice!,Here is the first section. Let's start with some practice!,
math-intro2,math,Here is another section. The first few are for practice.,Esta es otra sección. Las primeras son para practicar.,Jetzt kommt der nächste Teil. Die ersten paar sind wieder zum Üben.,Here is another section. The first few are for practice.,Here is another section. The first few are for practice.,Jetzt kommt der nächste Teil. Die ersten paar sind wieder zum Üben.,Here is another section. The first few are for practice.,Here is another section. The first few are for practice.,
math-intro-fractions,math,In this section sometimes you will add and sometimes you will subtract. Be sure to look carefully for the plus or minus sign. The first few are for practice.,En esta sección a veces tienes que sumar y a veces tienes que restar. Fíjate bien en el signo de suma o resta. Los primeros son para practicar.,"In diesem Teil musst du manchmal addieren und manchmal subtrahieren. Schau also genau, ob da ein Plus oder ein Minus steht. Die ersten paar sind wieder zum Üben.",In this section sometimes you will add and sometimes you will subtract. Be sure to look carefully for the plus or minus sign. The first few are for practice.,In this section sometimes you will add and sometimes you will subtract. Be sure to look carefully for the plus or minus sign. The first few are for practice.,"In diesem Teil musst du manchmal addieren und manchmal subtrahieren. Schau also genau, ob da ein Plus oder ein Minus steht. Die ersten paar sind wieder zum Üben.",In this section sometimes you will add and sometimes you will subtract. Be sure to look carefully for the plus or minus sign. The first few are for practice.,In this section sometimes you will add and sometimes you will subtract. Be sure to look carefully for the plus or minus sign. The first few are for practice.,
number-comparison-prompt1,math,Which number is larger?,¿Cuál número es mayor?,Welche Zahl ist größer?,Which number is larger?,Which number is larger?,Welche Zahl ist größer?,Which number is larger?,Which number is larger?,
number-comparison-prompt2,math,Which is larger?,¿Cuál es mayor?,Welche ist größer?,Which is larger?,Which is larger?,Welche ist größer?,Which is larger?,Which is larger?,
number-identification-prompt1,math,Choose the number you hear.,Escoge el número cuando lo escuches.,"Wähle die Zahl, die du hörst.",Choose the number you hear.,Choose the number you hear.,"Wähle die Zahl, die du hörst.",Choose the number you hear.,Choose the number you hear.,
missing-number-prompt1,math,What number goes in the blank?,¿Cuál número va en el espacio en blanco?,Welche Zahl gehört in die Lücke?,What number goes in the blank?,What number goes in the blank?,Welche Zahl gehört in die Lücke?,What number goes in the blank?,What number goes in the blank?,
missing-number-prompt2,math,What number goes here?,¿Cuál número va aquí?,Welche Zahl gehört hierher?,What number goes here?,What number goes here?,Welche Zahl gehört hierher?,What number goes here?,What number goes here?,
missing-number-prompt3,math,What numbers go in the blanks?,¿Cuál números van en los espacios en blanco?,Welche Zahlen gehören in die Lücken?,What numbers go in the blanks?,What numbers go in the blanks?,Welche Zahlen gehören in die Lücken?,What numbers go in the blanks?,What numbers go in the blanks?,
addition-prompt1,math,Add the numbers and choose the correct answer.,Suma los números y escoge la respuesta correcta.,Addiere die Zahlen und wähle die richtige Antwort.,Add the numbers and choose the correct answer.,Add the numbers and choose the correct answer.,Addiere die Zahlen und wähle die richtige Antwort.,Add the numbers and choose the correct answer.,Add the numbers and choose the correct answer.,
addition-prompt2,math,Add the numbers.,Suma los números.,Addiere die Zahlen. ,Add the numbers.,Add the numbers.,Addiere die Zahlen. ,Add the numbers.,Add the numbers.,
subtraction-prompt1,math,Subtract the numbers and choose the correct answer.,Resta los números y escoge la respuesta correcta.,Ziehe die Zahlen ab und wähle die richtige Antwort.,Subtract the numbers and choose the correct answer.,Subtract the numbers and choose the correct answer.,Ziehe die Zahlen ab und wähle die richtige Antwort.,Subtract the numbers and choose the correct answer.,Subtract the numbers and choose the correct answer.,
subtraction-prompt2,math,Subtract the numbers.,Resta los números.,Ziehe die Zahlen ab. ,Subtract the numbers.,Subtract the numbers.,Ziehe die Zahlen ab. ,Subtract the numbers.,Subtract the numbers.,
multiplication-prompt1,math,Multiply the numbers and choose the correct answer.,Multiplica los números y escoge la respuesta correcta.,Multipliziere die Zahlen und wähle die richtige Antwort.,Multiply the numbers and choose the correct answer.,Multiply the numbers and choose the correct answer.,Multipliziere die Zahlen und wähle die richtige Antwort.,Multiply the numbers and choose the correct answer.,Multiply the numbers and choose the correct answer.,
multiplication-prompt2,math,Multiply the numbers.,Multiplica los números.,Multipliziere die Zahlen. ,Multiply the numbers.,Multiply the numbers.,Multipliziere die Zahlen. ,Multiply the numbers.,Multiply the numbers.,
number-line-instruct1,math,Here is a number line. You can move the slider forward and backward along the line. Move the slider so it is in the right place to show where the number belongs. Make sure you look at the numbers at each end when deciding where to move the slider.,Aquí tienes una recta numérica. Sobre ella hay un marcador que tu puedes mover hacia la derecha o izquierda. Tu debes ubicar este marcador en el lugar de la recta donde estaría ubicado el número que te indicará cada ejercicio. Asegúrate de revisar bien cuáles son los números de los extremos de la recta antes de decidir dónde ubicar el marcador. ,"Hier ist eine Zahlenreihe. Du kannst den Schieber vorwärts und rückwärts entlang der Linie bewegen. Ändere den Schieber so, dass er sich an der richtigen Stelle befindet, um zu zeigen, wo die Zahl hingehört. Achte darauf, dass du die Zahlen an beiden Enden ansiehst, wenn du entscheidest, wohin du den Schieber platzierst. ",Here is a number line. You can move the slider forward and backward along the line. Move the slider so it is in the right place to show where the number belongs. Make sure you look at the numbers at each end when deciding where to move the slider.,Here is a number line. You can move the slider forward and backward along the line. Move the slider so it is in the right place to show where the number belongs. Make sure you look at the numbers at each end when deciding where to move the slider.,"Hier ist eine Zahlenreihe. Du kannst den Schieber vorwärts und rückwärts entlang der Linie bewegen. Ändere den Schieber so, dass er sich an der richtigen Stelle befindet, um zu zeigen, wo die Zahl hingehört. Achte darauf, dass du die Zahlen an beiden Enden ansiehst, wenn du entscheidest, wohin du den Schieber platzierst. ",Here is a number line. You can move the slider forward and backward along the line. Move the slider so it is in the right place to show where the number belongs. Make sure you look at the numbers at each end when deciding where to move the slider.,Here is a number line. You can move the slider forward and backward along the line. Move the slider so it is in the right place to show where the number belongs. Make sure you look at the numbers at each end when deciding where to move the slider.,
number-line-prompt1,math,Choose the number that is marked on the number line.,Escoge el número que está marcado en la recta numérica.,"Wähle die Zahl, die auf der Zahlenreihe markiert ist.",Choose the number that is marked on the number line.,Choose the number that is marked on the number line.,"Wähle die Zahl, die auf der Zahlenreihe markiert ist.",Choose the number that is marked on the number line.,Choose the number that is marked on the number line.,
number-line-slider-prompt1,math,Move the slider to mark the number.,Ubica el marcador sobre la recta numérica para marcar el lugar del número.,Bewege den Schieber auf die angegebene Zahl.,Move the slider to mark the number.,Move the slider to mark the number.,Bewege den Schieber auf die angegebene Zahl.,Move the slider to mark the number.,Move the slider to mark the number.,
number-identification-1,math,Choose the number 1.,Escoge el número 1.,Wähle die Zahl Eins.,Choose the number 1.,Choose the number 1.,Wähle die Zahl Eins.,Choose the number 1.,Choose the number 1.,
number-identification-2,math,Choose the 2.,Escoge el 2.,Wähle die Zwei.,Choose the 2.,Choose the 2.,Wähle die Zwei.,Choose the 2.,Choose the 2.,
number-identification-3,math,Choose the 9.,Escoge el 9.,Wähle die Neun.,Choose the 9.,Choose the 9.,Wähle die Neun.,Choose the 9.,Choose the 9.,
number-identification-4,math,Choose the 0.,Escoge el 0.,Wähle die Null.,Choose the 0.,Choose the 0.,Wähle die Null.,Choose the 0.,Choose the 0.,
number-identification-5,math,Choose the 12.,Escoge el 12.,Wähle die Zwölf.,Choose the 12.,Choose the 12.,Wähle die Zwölf.,Choose the 12.,Choose the 12.,
number-identification-6,math,Choose the 30.,Escoge el 30.,Wähle die Dreißig.,Choose the 30.,Choose the 30.,Wähle die Dreißig.,Choose the 30.,Choose the 30.,
