,item_id,labels,en-US,es-CO,de-DE,fr-CA,nl-NL,context,en-US.1
46,number-line-prompt1,math,Choose the number that is marked on the number line.,Esocoge el número que está marcado en la recta numérica.,,,,"number-line-prompt1
Es-co complete, de still needs review.",
47,number-line-slider-prompt1,math,Move the slider to mark the number.,Pon la barra roja sobre la linea recta en el lugar del número indicado.,,,,"number-line-slider-prompt1
Es-co complete, de still needs review.",
48,number-identification-1,math,Choose the number 1.,Escoge el número 1.,,,,"number-identification-1
Es-co complete, de still needs review.",
49,number-identification-2,math,Choose the 2.,Escoge el 2.,,,,"number-identification-2
Es-co complete, de still needs review.",
50,number-identification-3,math,Choose the 9.,Escoge el 9.,,,,"number-identification-3
Es-co complete, de still needs review.",
51,number-identification-4,math,Choose the 0.,Escoge el 0.,,,,"number-identification-4
Es-co complete, de still needs review.",
52,number-identification-5,math,Choose the 12.,Escoge el 12.,,,,"number-identification-5
Es-co complete, de still needs review.",
53,number-identification-6,math,Choose the 30.,Escoge el 30.,,,,"number-identification-6
Es-co complete, de still needs review.",
54,number-identification-7,math,Choose the 22.,Escoge el 22.,,,,"number-identification-7
Es-co complete, de still needs review.",
55,number-identification-8,math,Choose the 45.,Escoge el 45.,,,,"number-identification-8
Es-co complete, de still needs review.",
56,number-identification-9,math,Choose the 39.,Escoge el 39.,,,,"number-identification-9
Es-co complete, de still needs review.",
57,number-identification-10,math,Choose the 23.,Escoge el 23.,,,,"number-identification-10
Es-co complete, de still needs review.",
58,number-identification-11,math,Choose the 48.,Escoge el 48.,,,,"number-identification-11
Es-co complete, de still needs review.",
59,number-identification-12,math,Choose the 91.,Escoge el 91.,,,,"number-identification-12
Es-co complete, de still needs review.",
60,number-identification-13,math,Choose the 33.,Escoge el 33.,,,,"number-identification-13
Es-co complete, de still needs review.",
61,number-identification-14,math,Choose the 74.,Escoge el 74.,,,,"number-identification-14
Es-co complete, de still needs review.",
62,number-identification-15,math,Choose the 87.,Escoge el 87.,,,,"number-identification-15
Es-co complete, de still needs review.",
63,number-identification-16,math,Choose the 65.,Escoge el 65.,,,,"number-identification-16
Es-co complete, de still needs review.",
64,number-identification-17,math,Choose the 108.,Escoge el 108.,,,,"number-identification-17
Es-co complete, de still needs review.",
65,number-identification-18,math,Choose the 245.,Escoge el 245.,,,,"number-identification-18
Es-co complete, de still needs review.",
66,number-identification-19,math,Choose the 587.,Escoge el 587.,,,,"number-identification-19
Es-co complete, de still needs review.",
67,number-identification-20,math,Choose the 731.,Escoge el 731.,,,,"number-identification-20
Es-co complete, de still needs review.",
68,number-identification-21,math,Choose the 989.,Escoge el 989. ,,,,"number-identification-21
Es-co complete, de still needs review.",
69,trog-instruct1,trog,"Now we're going to play a matching game! I'm going to say some words, and you choose the picture that goes with what I say. Let's get started!","Ahora, ¡vamos a hacer un juego de asociación! Yo diré palabras y tú eliges la imagen que va con las palabras que yo diga. ¡Empecemos!",,,,"trog-instruct1
Es-co complete, de still needs review.",
70,trog-prompt1,trog,Choose the picture of the...,Escoge la imagen del...,,,,"trog-prompt1
Es-co complete, de still needs review.",
71,trog-prompt2,trog,Choose the picture of...,Escoge la imagen de...,,,,"trog-prompt2
Es-co complete, de still needs review.",
72,trog-prompt3,trog,Choose the picture that shows...,Escoge la imagen que muestra...,,,,"trog-prompt3
Es-co complete, de still needs review.",
73,trog-item-1,trog,Choose the picture of the shoe.,Escoge la imagen del zapato.,,,,"trog-item-1
Es-co complete, de still needs review.",
74,trog-item-2,trog,Choose the picture of the bird.,Escoge la imagen del pájaro.,,,,"trog-item-2
Es-co complete, de still needs review.",
75,trog-item-3,trog,Choose the picture of the comb.,Escoge la imagen del peine.,,,,"trog-item-3
Es-co complete, de still needs review.",
76,trog-item-4,trog,Choose the picture of the apple.,Escoge la imagen de la manzana.,,,,"trog-item-4
Es-co complete, de still needs review.",
77,trog-item-5,trog,Choose the picture that shows eating.,Escoge la imagen que muestra comiendo.,,,,"trog-item-5
Es-co complete, de still needs review.",
78,trog-item-6,trog,Choose the picture that shows picking.,Escoge la imagen que muestra recogiendo.,,,,"trog-item-6
Es-co complete, de still needs review.",
79,trog-item-7,trog,Choose the picture that shows sitting.,Escoge la imagen que muestra sentado.,,,,"trog-item-7
Es-co complete, de still needs review.",
80,trog-item-8,trog,Choose the picture that shows running.,Escoge la imagen que muestra corriendo.,,,,"trog-item-8
Es-co complete, de still needs review.",
81,trog-item-9,trog,Choose the picture that shows long.,Escoge la imagen que muestra largo.,,,,"trog-item-9
Es-co complete, de still needs review.",
82,trog-item-10,trog,Choose the picture that shows tall.,Escoge la imagen que muestra alto.,,,,"trog-item-10
Es-co complete, de still needs review.",
83,trog-item-11,trog,Choose the picture that shows red.,Escoge la imagen que muestra el rojo.,,,,"trog-item-11
Es-co complete, de still needs review.",
84,trog-item-12,trog,Choose the picture that shows black.,Escoge la imagen que muestra el negro.,,,,"trog-item-12
Es-co complete, de still needs review.",
85,trog-item-13,trog,the boy is running,el niño está corriendo,,,,"trog-item-13
Es-co complete, de still needs review.",
86,trog-item-14,trog,the big cup,la taza grande,,,,"trog-item-14
Es-co complete, de still needs review.",
87,trog-item-15,trog,the dog is sitting,el perro está sentado,,,,"trog-item-15
Es-co complete, de still needs review.",
88,trog-item-16,trog,the red ball,la pelota roja,,,,"trog-item-16
Es-co complete, de still needs review.",
89,trog-item-17,trog,the boy is not running,el niño no está corriendo,,,,"trog-item-17
Es-co complete, de still needs review.",
90,trog-item-18,trog,the dog is not drinking,el perro no está bebiendo,,,,"trog-item-18
Es-co complete, de still needs review.",
91,trog-item-19,trog,the girl is not jumping,la niña no está saltando,,,,"trog-item-19
Es-co complete, de still needs review.",
92,trog-item-20,trog,the dog is not sitting,el perro no está sentado,,,,"trog-item-20
Es-co complete, de still needs review.",
93,trog-item-21,trog,the boy is jumping over the box,el niño salta por encima de la caja,,,,"trog-item-21
Es-co complete, de still needs review.",
94,trog-item-22,trog,the girl is sitting on the table,la niña está sentada encima de la mesa,,,,"trog-item-22
Es-co complete, de still needs review.",
95,trog-item-23,trog,the man is eating the apple,el hombre se está comiendo una manzana,,,,"trog-item-23
Es-co complete, de still needs review.",
96,trog-item-24,trog,the lady is carrying the bag,la señora está llevando la bolsa,,,,"trog-item-24
Es-co complete, de still needs review.",
97,trog-item-25,trog,they are sitting on the table,están sentadas encima de la mesa,,,,"trog-item-25
Es-co complete, de still needs review.",
98,trog-item-26,trog,the cow is looking at them,la vaca está mirándolas,,,,"trog-item-26
Es-co complete, de still needs review.",
99,trog-item-27,trog,they are jumping over the wall,están saltando por encima de la pared,,,,"trog-item-27
Es-co complete, de still needs review.",
100,trog-item-28,trog,the elephant is carrying them,el elefante está llevandolos,,,,"trog-item-28
Es-co complete, de still needs review.",
101,trog-item-29,trog,the girl is pushing the horse,la niña está empujando al caballo,,,,"trog-item-29
Es-co complete, de still needs review.",
102,trog-item-30,trog,the boy is chasing the sheep,el niño persigue a la oveja,,,,"trog-item-30
Es-co complete, de still needs review.",
103,trog-item-31,trog,the man is chasing the dog,el hombre persigue al perro,,,,"trog-item-31
Es-co complete, de still needs review.",
104,trog-item-32,trog,the cow is pushing the lady,la vaca está empujando a la señora,,,,"trog-item-32
Es-co complete, de still needs review.",
105,trog-item-33,trog,she is sitting on the chair,ella está sentada en la silla,,,,"trog-item-33
Es-co complete, de still needs review.",
106,trog-item-34,trog,the lady is carrying him,la señora lo está cargando,,,,"trog-item-34
Es-co complete, de still needs review.",
107,trog-item-35,trog,he is sitting in the tree,él está sentado en el árbol,,,,"trog-item-35
Es-co complete, de still needs review.",
108,trog-item-36,trog,the horse is looking at her,el caballo la está mirando,,,,"trog-item-36
Es-co complete, de still needs review.",
109,trog-item-37,trog,the cats look at the ball,los gatos miran la pelota,,,,"trog-item-37
Es-co complete, de still needs review.",
110,trog-item-38,trog,the boy stands on the chairs,el niño se para encima de las sillas,,,,"trog-item-38
Es-co complete, de still needs review.",
111,trog-item-39,trog,the boys pick the apples,los niños recogen las manzanas,,,,"trog-item-39
Es-co complete, de still needs review.",
112,trog-item-40,trog,the girl drops the cups,la niña deja caer las tazas,,,,"trog-item-40
Es-co complete, de still needs review.",
113,trog-item-41,trog,the fork is longer than the pencil,el tenedor es más largo que el lápiz,,,,"trog-item-41
Es-co complete, de still needs review.",
114,trog-item-42,trog,the box is bigger than the cup,la caja es más grande que la taza,,,,"trog-item-42
Es-co complete, de still needs review.",
115,trog-item-43,trog,the shoe is bigger than the bird,el zapato es más grande que el pájaro,,,,"trog-item-43
Es-co complete, de still needs review.",
116,trog-item-44,trog,the horse is taller than the wall,el caballo es más alto que la pared,,,,"trog-item-44
Es-co complete, de still needs review.",
117,trog-item-45,trog,the girl is chased by the horse,la niña es perseguida por el caballo,,,,"trog-item-45
Es-co complete, de still needs review.",
118,trog-item-46,trog,the elephant is pushed by the boy,el elefante es empujado por el niño,,,,"trog-item-46
Es-co complete, de still needs review.",
119,trog-item-47,trog,the horse is chased by the man,el caballo es perseguido por el hombre,,,,"trog-item-47
Es-co complete, de still needs review.",
120,trog-item-48,trog,the cow is pushed by the man,la vaca es empujada por el hombre,,,,"trog-item-48
Es-co complete, de still needs review.",
121,trog-item-49,trog,the cup is in the box,la taza está en la caja,,,,"trog-item-49
Es-co complete, de still needs review.",
122,trog-item-50,trog,the pencil is on the box,el lápiz está encima de la caja,,,,"trog-item-50
Es-co complete, de still needs review.",
123,trog-item-51,trog,the circle is in the star,el círculo está en la estrella,,,,"trog-item-51
Es-co complete, de still needs review.",
124,trog-item-52,trog,the fork is on the shoe,el tenedor está encima del zapato,,,,"trog-item-52
Es-co complete, de still needs review.",
125,trog-item-53,trog,the boy chasing the horse is tall,el niño que persigue al caballo es alto,,,,"trog-item-53
Es-co complete, de still needs review.",
126,trog-item-54,trog,the pencil on the shoe is blue,el lápiz encima del zapato es azul,,,,"trog-item-54
Es-co complete, de still needs review.",
127,trog-item-55,trog,the cow chasing the cat is brown,la vaca que persigue al gato es marrón,,,,"trog-item-55
Es-co complete, de still needs review.",
128,trog-item-56,trog,the circle in the star is yellow,el círculo en la estrella es amarillo,,,,"trog-item-56
Es-co complete, de still needs review.",
129,trog-item-57,trog,the box but not the chair is red,"la caja es roja, pero no la silla",,,,"trog-item-57
Es-co complete, de still needs review.",
130,trog-item-58,trog,the cat is big but not black,el gato es grande pero no negro,,,,"trog-item-58
Es-co complete, de still needs review.",
131,trog-item-59,trog,the horse but not the boy is standing,"el caballo está parado, pero no el niño",,,,"trog-item-59
Es-co complete, de still needs review.",
132,trog-item-60,trog,the boy is sitting but not eating,"el niño está sentado, pero no está comiendo",,,,"trog-item-60
Es-co complete, de still needs review.",
133,trog-item-61,trog,the pencil is above the flower,el lápiz está arriba de la flor,,,,"trog-item-61
Es-co complete, de still needs review.",
134,trog-item-62,trog,the comb is below the spoon,el peine está debajo de la cuchara,,,,"trog-item-62
Es-co complete, de still needs review.",
135,trog-item-63,trog,the star is above the circle,la estrella está arriba del círculo,,,,"trog-item-63
Es-co complete, de still needs review.",
136,trog-item-64,trog,the square is below the star,el cuadrado está debajo de la estrella,,,,"trog-item-64
Es-co complete, de still needs review.",
137,trog-item-65,trog,not only the bird but also the flower is blue,"no sólo el pájaro, también la flor es azul.",,,,"trog-item-65
Es-co complete, de still needs review.",
138,trog-item-66,trog,the box is not only big but also blue,"la caja no sólo es grande, sino también azul",,,,"trog-item-66
Es-co complete, de still needs review.",
139,trog-item-67,trog,not only the girl but also the cat is sitting,"no sólo la niña, también el gato está sentado.",,,,"trog-item-67
Es-co complete, de still needs review.",
140,trog-item-68,trog,the girl has not only food but also a drink,"la niña no solo tiene comida, sino también bebida",,,,"trog-item-68
Es-co complete, de still needs review.",
141,trog-item-69,trog,the pencil is on the book that is yellow,el lápiz está encima del libro que es amarillo,,,,"trog-item-69
Es-co complete, de still needs review.",
142,trog-item-70,trog,the girl chases the dog that is big,la niña persigue al perro que es grande,,,,"trog-item-70
Es-co complete, de still needs review.",
143,trog-item-71,trog,the square is in the star that is blue,el cuadrado está en la estrella que es azul,,,,"trog-item-71
Es-co complete, de still needs review.",
144,trog-item-72,trog,the dog chases the horse that is brown,el perro persigue al caballo que es marrón,,,,"trog-item-72
Es-co complete, de still needs review.",
145,trog-item-73,trog,neither the dog nor the ball is brown,ni el perro ni la pelota son marrones,,,,"trog-item-73
Es-co complete, de still needs review.",
146,trog-item-74,trog,the pencil is neither long nor red,el lápiz no es largo ni rojo,,,,"trog-item-74
Es-co complete, de still needs review.",
147,trog-item-75,trog,neither the boy nor the horse is running,ni el niño ni el caballo están corriendo,,,,"trog-item-75
Es-co complete, de still needs review.",
148,trog-item-76,trog,the boy has neither hat nor shoes,el niño no tiene ni sombrero ni zapatos,,,,"trog-item-76
Es-co complete, de still needs review.",
149,trog-item-77,trog,the book the pencil is on is red,el libro que el lapiz esta encima de es rojo,,,,"trog-item-77
Es-co complete, de still needs review.",
150,trog-item-78,trog,the cat the cow chases is black,el gato que la vaca persigue es negro,,,,"trog-item-78
Es-co complete, de still needs review.",
151,trog-item-79,trog,the circle the star is in is red,"el círculo, en el que está la estrella, es rojo",,,,"trog-item-79
Es-co complete, de still needs review.",
152,trog-item-80,trog,the boy the dog chases is big,el niño que el perro persigue es grande,,,,"trog-item-80
Es-co complete, de still needs review.",
153,trog-item-81,trog,the horse drank water by the barn and the sheep ate grass by the fence,"el caballo bebía agua junto al granero, y la oveja comía pasto junto a la cerca",,,,"trog-item-81
Es-co complete, de still needs review.",
154,trog-item-82,trog,the student opened the notebook and drew a tree,el estudiante abrió el cuaderno y dibujó un árbol,,,,"trog-item-82
Es-co complete, de still needs review.",
155,trog-item-83,trog,we will have a picnic in the park if it is sunny,haremos un picnic en el parque si hace sol,,,,"trog-item-83
Es-co complete, de still needs review.",
156,trog-item-84,trog,he found his keys under the couch with the pillows,encontró sus llaves debajo del sofá con cojines,,,,"trog-item-84
Es-co complete, de still needs review.",
157,trog-item-85,trog,she is the gardener who wears the hat that has a flower,ella es la jardinera que usa un sombrero que tiene una flor,,,,"trog-item-85
Es-co complete, de still needs review.",
158,trog-item-86,trog,She tripped on a rock and dropped her books.,Ella tropezó con una piedra y dejo caer sus libros.,,,,"trog-item-86
Es-co complete, de still needs review.",
159,trog-item-87,trog,The teacher will give the students cake if they stand in a line.,"La maestra dará pastel a los estudiantes, si se ponen en fila.",,,,"trog-item-87
Es-co complete, de still needs review.",
160,trog-item-88,trog,We will dance together if there is music playing.,Bailaremos juntos si hay música sonando.,,,,"trog-item-88
Es-co complete, de still needs review.",
161,trog-item-89,trog,"Although it is hot outside, I am wearing a jacket with a hood.","Aunque hace calor afuera, estoy usando una chaqueta con capucha.",,,,"trog-item-89
Es-co complete, de still needs review.",
162,trog-item-90,trog,"He likes swimming. However, he chose to play soccer with his friends.","Le gusta nadar. Sin embargo, elijió jugar fútbol con sus amigos.",,,,"trog-item-90
Es-co complete, de still needs review.",
163,trog-item-91,trog,"Despite the noise in the classroom, she focused on reading her notebook.","A pesar del ruido en el salón, ella se concentró en leer su cuaderno.",,,,"trog-item-91
Es-co complete, de still needs review.",
164,trog-item-92,trog,He wore the clown's hat despite its large size.,Él usó el sombrero de payaso a pesar de su gran tamaño.,,,,"trog-item-92
Es-co complete, de still needs review.",
165,trog-item-93,trog,The duck following the turtle is walking across the bridge.,El pato que sigue a la tortuga está caminando por el puente.,,,,"trog-item-93
Es-co complete, de still needs review.",
166,trog-item-94,trog,Bumping the table with my foot caused a book to fall.,Al golpear la mesa con mi pié hizo que se cayera un libro,,,,"trog-item-94
Es-co complete, de still needs review.",
167,trog-item-95,trog,The person chases the dog that is big.,La persona persigue al perro que es grande.,,,,"trog-item-95
Es-co complete, de still needs review.",
168,trog-item-96,trog,The girl wearing a backpack was shown a flower by her friend.,A la niña que llevaba el morral su amiga le mostró una flor.,,,,"trog-item-96
Final es-co & de translation review complete",
169,trog-item-97,trog,"The kids cleaned the room, but forgot to put away the train.","Los niños limpiaron la habitación, pero olvidaron guardar el tren.",,,,"trog-item-97
Es-co complete, de still needs review.",
170,trog-item-98,trog,The monkey neither ate the banana nor swung on the vine.,El mono no se comió el plátano ni se columpió en la liana.,,,,"trog-item-98
Final es-co & de translation review complete",
171,trog-item-99,trog,"Her mom said it would be sunny. However, it rained heavily.","Su madre dijo que haría sol. Sin embargo, llovió a cántaros.",,,,"trog-item-99
Es-co complete, de still needs review.",
172,trog-item-100,trog,The plane that is gray is above the clouds.,El avión que es gris está por arriba de las nubes.,,,,"trog-item-100
Es-co complete, de still needs review.",
173,trog-item-101,trog,The fish swim beneath a whale and a sea turtle.,Los peces nadan debajo de una ballena y una tortuga marina.,,,,"trog-item-101
Es-co complete, de still needs review.",
174,trog-item-102,trog,The car that the truck followed is driving toward the tunnel.,El coche al que siguió el camión se dirige hacia el túnel.,,,,"trog-item-102
Es-co complete, de still needs review.",
175,trog-item-103,trog,Instead of doing homework she did a puzzle in her room.,"En vez de hacer las tareas, ella hizo un rompecabezas en su habitación. ",,,,"trog-item-103
Es-co complete, de still needs review.",
176,yes,theory-of-mind,yes,sí,,,,"yes
",
177,no,theory-of-mind,no,no,,,,"no
",
178,happy,theory-of-mind,happy,feliz,,,,"happy
",
179,sad,theory-of-mind,sad,triste,,,,"sad
",
180,angry,theory-of-mind,angry,enojado,,,,"angry
",
181,scared,theory-of-mind,scared,asustado,,,,"scared
",
182,calm,theory-of-mind,calm,tranquilo,,,,"calm
",
183,proud,theory-of-mind,proud,orgulloso,,,,"proud
",
184,disgusted,theory-of-mind,disgusted,asqueado,,,,"disgusted
",
185,surprised,theory-of-mind,surprised,sorprendido,,,,"surprised
",
186,ToM-intro,theory-of-mind,"This is the Stories Game. In this game, you will listen to some stories. Then you will answer questions about the stories.",Este es el Juego de las historias. En este juego vas a escuchar algunas historias y luego vas a responder preguntas sobre esas historias.,,,,"ToM-intro
",
187,ToM-transition,theory-of-mind,Nice work! Here is a new story.,¡Bien hecho! Ahora vamos con una nueva historia.,,,,"ToM-transition
",
188,ToM-scene1-instruct1,theory-of-mind,"Here is Madison. This morning, Madison put her book behind the chair, because she didn’t want anyone to find it. ","Esta es Marisol. Esta mañana, Marisol puso su libro detrás de la silla, porque no quería que nadie lo encontrara.",,,,"ToM-scene1-instruct1
Final es-co & de translation review complete",
189,ToM-scene1-instruct2,theory-of-mind,"But when Madison was outside playing, someone did find it! And hid it under the rug. ","Pero cuando Marisol estaba afuera jugando, ¡alguien lo encontró! Y lo escondió debajo de la alfombra.",,,,"ToM-scene1-instruct2
Final es-co & de translation review complete",
190,ToM-scene1-instruct3,theory-of-mind,So now it’s reading time and Madison wants her book.,"Ahora, es el momento de leer y Marisol quiere su libro.",,,,"ToM-scene1-instruct3
Final es-co & de translation review complete",
